pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
full250_vs_attn250	724	50	43	42	-1	86.0	84.0	-0.00264660082757473	0.02216564118862152
full250_vs_attn250	473	50	39	38	-1	78.0	76.0	-0.002560487948358059	-0.046327389776706696
full250_vs_attn250	614	50	46	45	-1	92.0	90.0	-0.0024318182840943336	0.04927089810371399
full250_vs_attn250	452	50	39	38	-1	78.0	76.0	-0.0022104450035840273	0.07602400332689285
full250_vs_attn250	308	50	45	44	-1	90.0	88.0	-0.0020295388530939817	0.0011468600714579225
full250_vs_attn250	374	50	38	37	-1	76.0	74.0	-0.0020215632393956184	-0.032633837312459946
full250_vs_attn250	485	50	36	35	-1	72.0	70.0	-0.0018979922169819474	-0.016150111332535744
full250_vs_attn250	798	50	42	41	-1	84.0	82.0	-0.0017748060636222363	-0.007108411751687527
full250_vs_attn250	735	50	35	34	-1	70.0	68.0	-0.0016913112485781312	-0.007132100872695446
full250_vs_attn250	363	50	47	46	-1	94.0	92.0	-0.001565024722367525	-0.008562307804822922
full250_vs_attn250	245	50	45	44	-1	90.0	88.0	-0.0015021321596577764	-0.009511251002550125
full250_vs_attn250	121	50	44	43	-1	88.0	86.0	-0.0014411923475563526	-0.031635209918022156
full250_vs_attn250	453	50	38	37	-1	76.0	74.0	-0.0013946956023573875	-0.006338920444250107
full250_vs_attn250	290	50	41	40	-1	82.0	80.0	-0.001388101140037179	-0.04285094141960144
full250_vs_attn250	115	50	49	48	-1	98.0	96.0	-0.0013862556079402566	0.01546913105994463
full250_vs_attn250	109	50	48	47	-1	96.0	94.0	-0.0013529983116313815	0.034718092530965805
full250_vs_attn250	234	50	47	46	-1	94.0	92.0	-0.001293111010454595	-0.033862724900245667
full250_vs_attn250	608	50	38	37	-1	76.0	74.0	-0.0009065747726708651	0.027721986174583435
full250_vs_attn250	404	50	48	47	-1	96.0	94.0	-0.0009024646133184433	0.01909109205007553
full250_vs_attn250	207	50	47	46	-1	94.0	92.0	-0.0008259498863480985	-0.04304300248622894
full250_vs_attn250	346	50	46	45	-1	92.0	90.0	-0.0007851669215597212	0.002778377616778016
full250_vs_attn250	240	50	20	19	-1	40.0	38.0	-0.0007817447185516357	0.04895593598484993
full250_vs_attn250	54	50	34	33	-1	68.0	66.0	-0.0006852312362752855	0.017225705087184906
full250_vs_attn250	515	50	37	36	-1	74.0	72.0	-0.0006419208366423845	0.011413879692554474
full250_vs_attn250	188	50	43	42	-1	86.0	84.0	-0.0005625670892186463	0.050818394869565964
full250_vs_attn250	389	50	44	43	-1	88.0	86.0	-0.0003317057271488011	-0.004558992572128773
full250_vs_attn250	77	50	38	37	-1	76.0	74.0	-0.0003060396120417863	-0.012162341736257076
full250_vs_attn250	656	50	28	27	-1	56.0	54.0	-0.00020642473828047514	0.06806356459856033
full250_vs_attn250	227	50	35	34	-1	70.0	68.0	-9.820550621952862e-05	0.0032121180556714535
full250_vs_attn250	678	50	37	36	-1	74.0	72.0	-9.767204755917192e-05	0.011599007062613964
full250_vs_attn250	424	50	34	33	-1	68.0	66.0	0.00016795530973467976	-0.03290988877415657
full250_vs_attn250	949	50	36	35	-1	72.0	70.0	0.0003573042049538344	-0.008412513881921768
full250_vs_attn250	654	50	41	40	-1	82.0	80.0	0.0005100645357742906	0.008654146455228329
full250_vs_attn250	195	50	46	45	-1	92.0	90.0	0.0007077594054862857	0.012590713798999786
full250_vs_attn250	969	50	24	23	-1	48.0	46.0	0.0008987071923911572	0.02661457099020481
full250_vs_attn250	981	50	43	42	-1	86.0	84.0	0.0009343911660835147	0.0060855005867779255
full250_vs_attn250	172	50	41	40	-1	82.0	80.0	0.0010553245665505528	0.004368658177554607
full250_vs_attn250	236	50	40	39	-1	80.0	78.0	0.0011093375505879521	0.00596865639090538
full250_vs_attn250	626	50	43	42	-1	86.0	84.0	0.0011563546722754836	-0.03197777643799782
full250_vs_attn250	47	50	44	43	-1	88.0	86.0	0.001210781978443265	0.019960107281804085
full250_vs_attn250	36	50	26	25	-1	52.0	50.0	0.0012265986297279596	-0.0047698975540697575
full250_vs_attn250	652	50	39	38	-1	78.0	76.0	0.0016461503691971302	-0.06872715055942535
full250_vs_attn250	842	50	35	34	-1	70.0	68.0	0.0017135691596195102	0.038810424506664276
full250_vs_attn250	322	50	48	47	-1	96.0	94.0	0.001853546011261642	0.027387799695134163
full250_vs_attn250	214	50	46	45	-1	92.0	90.0	0.001906258170492947	-0.0008402633829973638
full250_vs_attn250	65	50	42	41	-1	84.0	82.0	0.0019161513773724437	0.08324123173952103
full250_vs_attn250	905	50	36	35	-1	72.0	70.0	0.002534411149099469	-0.01771065779030323
full250_vs_attn250	680	50	42	41	-1	84.0	82.0	0.002553692553192377	0.04313676804304123
full250_vs_attn250	488	50	18	17	-1	36.0	34.0	0.0026760997716337442	0.0001270866341656074
full250_vs_attn250	491	50	49	48	-1	98.0	96.0	0.0027566468343138695	-0.025922585278749466
full250_vs_attn250	166	50	37	36	-1	74.0	72.0	0.0029132473282516003	-0.005841970443725586
full250_vs_attn250	111	50	47	46	-1	94.0	92.0	0.0029935676138848066	0.054795246571302414
full250_vs_attn250	707	50	44	43	-1	88.0	86.0	0.003070869715884328	-0.024602079764008522
full250_vs_attn250	422	50	32	31	-1	64.0	62.0	0.003179458901286125	0.04810034856200218
full250_vs_attn250	83	50	49	48	-1	98.0	96.0	0.003427127841860056	0.04493192583322525
