run	global_block	stage	block	head	mean_js	mean_cosine_distance	mean_topk_overlap_change	mean_entropy_delta	oscillation_score	spike_score	reversal_score	late_window_score	post_peak_drop_score	acc_up_corr	acc_down_corr	harmful_score	beneficial_score	custom_subset_token	stage_block_head
scheme_c	6	2	2	10	8.03456718260047e-05	8.632842206467613e-05	0.01615646258503401	0.001684312387316626	0.016491567917656356	1.5784273854947803	0.45454545454545453	0.016491567917656356	0.00034937247655526544	0.48156804384607904	-0.48156804384607904	0.9208386719414732	0.25833101418667537	6:10	2:2:10
scheme_c	10	3	0	1	0.0005845141862120057	0.0009530841824828551	0.05442176870748298	0.006217214509964449	0.056581088527174306	1.2070032373500172	0.5454545454545454	0.056581088527174306	0.001272850583347417	0.38555380724946287	-0.38555380724946287	0.8018809395372494	0.25204025785284007	10:1	3:0:1
original	10	3	0	3	0.0005456815871801214	0.0009805530913591098	0.04124149659863945	0.006934804267035817	0.043461211703882265	1.4459125312708327	0.45454545454545453	0.043461211703882265	0.0015009593786430592	0.3946986766510381	-0.3946986766510381	0.8857938214607947	0.24328002037178892	10:3	3:0:3
scheme_c	9	2	5	10	0.00014747117327258087	0.0003009635274807872	0.03741496598639456	0.0011749527682201426	0.03798089596396993	1.360895888578166	0.36363636363636365	0.03798089596396993	0.0006764387219485842	0.40559749266389	-0.40559749266389	0.8125052126421567	0.24277944821814126	9:10	2:5:10
original	7	2	3	5	8.01455701254482e-05	4.966372375177682e-05	0.00977891156462585	0.0018517483013870868	0.010093895688641783	3.0530186353602726	0.5454545454545454	0.010093895688641783	0.00018919285253644088	0.4552783891189843	-0.4552783891189843	1.6738526249944656	0.23869309069101038	7:5	2:3:5
original	6	2	2	5	1.7842388624357405e-05	2.6548221746164335e-05	0.004251700680272108	0.0007498401039955175	0.004371075301042182	2.352392433443632	0.36363636363636365	0.004371075301042182	0.00012798632158937293	0.4643060965380072	-0.4643060965380072	1.2719174944931613	0.23688537497572812	6:5	2:2:5
scheme_c	6	2	2	5	2.193799770251212e-05	3.867449643314239e-05	0.006377551020408163	0.000734538417229961	0.006511617356266815	2.3871169997866453	0.6363636363636364	0.006511617356266815	0.000112119755304119	0.4513171105691989	-0.4513171105691989	1.3596093988039846	0.23267428249015684	6:5	2:2:5
scheme_c	2	1	0	3	3.426368448271758e-05	2.956401964423113e-06	0.025085034013605442	0.008883489780200945	0.02601060307807267	1.4689825224063462	0.5454545454545454	0.02601060307807267	0.00041370310451985845	0.4088489710818106	-0.4088489710818106	0.8987075157643629	0.23181844216092026	2:3	1:0:3
scheme_c	4	2	0	4	2.7549364683603364e-05	8.894152083006406e-05	0.03741496598639456	0.0002787210556359036	0.037559328977471815	1.7698114291300127	0.36363636363636365	0.037559328977471815	0.0009091688255548351	0.35039944744576695	-0.35039944744576695	1.016916237418416	0.2147313254591793	4:4	2:0:4
scheme_c	11	3	1	12	0.00025016037591068184	0.0005402312823564922	0.044642857142857144	0.005308033514345389	0.04596405215255886	1.467911070485776	0.5454545454545454	0.04596405215255886	0.0011961563984751633	0.2962808157038192	-0.2962808157038192	0.9213379760358527	0.19661280247845137	11:12	3:1:12
