run	ckpt_a	ckpt_b	acc_a	acc_b	acc_delta	global_block	stage	block	head	js_divergence	cosine_distance	topk_overlap_change	entropy_a	entropy_b	entropy_delta	oscillation_score
original	57	58	80.66	80.562	-0.09799999999999898	7	2	3	11	0.00012295239077083047	0.00034118748982814306	0.00510204081632653	3.664659454836025	3.663345888412456	0.001313566423569057	0.005697537339282409
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	0	0.00016445980754467706	0.0004176156342879933	0.01020408163265306	3.5859842199772802	3.5889534888786856	0.002969268901405364	0.011083083964626268
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	1	0.00011524112157947253	0.0003071228657375302	0.0663265306122449	3.616865062887859	3.6194877738018287	0.0026227109139695948	0.06701116569095886
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	2	0.00012911713664927145	0.000435207775044244	0.05612244897959184	3.769766367760055	3.7722583548400963	0.0024919870800412802	0.05693597259928948
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	3	0.0001541010804797936	0.00046010391266204653	0.04591836734693878	3.695580841374061	3.697921716557386	0.002340875183324709	0.046766659858413086
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	4	2.2821053179239577e-05	8.068617416656654e-05	0.04081632653061224	3.6867677417429996	3.6871064365809634	0.0003386948379637822	0.04095370324175442
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	5	0.00013793216398694214	0.00026055684721615346	0.02040816326530612	3.425904352620006	3.425706312967119	0.0001980396528873385	0.02082645624179795
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	6	8.715501089892635e-05	0.00027287978530099455	0.05102040816326531	3.697972956411679	3.697479979472856	0.0004929769388226646	0.051429740653347496
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	7	0.00010759201645614645	0.0003374636896855687	0.030612244897959183	3.6769182089533876	3.678349114097978	0.001430905144590433	0.03120039111855994
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	8	4.853022959666907e-05	0.00011566109400329427	0.02040816326530612	3.536098567850457	3.5341287479042722	0.0019698199461846144	0.020769336583524547
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	9	7.351266087974882e-05	0.00015103090229173777	0.061224489795918366	3.632455722387163	3.634349495548552	0.0018937731613886122	0.06163841067522872
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	10	9.490901769823915e-05	0.0002116754642447205	0.030612244897959183	3.5457666473858183	3.5471515723833917	0.0013849249975734779	0.03105732187965949
original	57	58	80.66	80.562	-0.09799999999999898	8	2	4	11	0.00016233192452312745	0.00043268300149035266	0.0663265306122449	3.5956970699701003	3.6006571403877476	0.004960070417647344	0.06741755258002312
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	0	0.00015112284312286374	0.00025742918045168484	0.025510204081632654	3.2133328921207696	3.215590764307889	0.0022578721871195917	0.02614454332391916
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	1	0.00014845128542814997	0.0002578716464874953	0.02040816326530612	3.205683769360042	3.2080668502184118	0.0023830808583698015	0.021052794283058746
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	2	0.00014600719109118771	8.334623508554628e-05	0.03571428571428571	2.8971401967756214	2.907935474615261	0.010795277839639628	0.03702316692442641
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	3	0.00014567039217418964	0.0003140521167771526	0.030612244897959183	3.3762209938989183	3.377896339898138	0.0016753459992195907	0.031239502006832485
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	4	9.634875915158694e-05	0.00015415795140505395	0.03571428571428571	3.064384249946108	3.062705707086707	0.0016785428594006113	0.03613264671078241
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	5	5.0055304777841915e-05	0.00013500560902313108	0.03571428571428571	3.5124595778049437	3.5128150688544055	0.0003554910494618646	0.03593489573303287
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	6	0.00013555910313442965	0.0003306218557993512	0.030612244897959183	3.6544846803394804	3.6560424601372286	0.0015577797977481822	0.031234203836667782
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	7	0.0001789373298399185	0.0003736115891044278	0.04591836734693878	3.41275109082354	3.4143210111839424	0.001569920360402488	0.04662790830192337
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	8	0.00011198527947335867	0.00015096188606489314	0.00510204081632653	3.03084845534723	3.0245007305012583	0.00634772484597157	0.005999760466461939
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	9	0.00014411900811864788	0.0002837040584737771	0.025510204081632654	3.272615645549266	3.2745206511460228	0.0019050055967566593	0.026128527707900744
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	10	0.00014396767546174957	0.00026353923470257	0.02040816326530612	3.299609139826599	3.2980640646078583	0.001545075218740699	0.02097017769734451
original	57	58	80.66	80.562	-0.09799999999999898	9	2	5	11	0.00010471927605355378	0.00022782248568720131	0.04081632653061224	3.2925718812295215	3.2926015631583083	2.968192878682885e-05	0.04115183648523168
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	0	0.0005564227380062937	0.0010573954656429851	0.03571428571428571	3.294812023642692	3.307048987612814	0.012236963970122083	0.038551800314947204
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	1	0.0005627157670301041	0.00096360400117812	0.05102040816326531	3.260264662304783	3.2687564409254204	0.008491778620637547	0.053395905793537285
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	2	0.0007298828308295641	0.0010116208078757571	0.00510204081632653	3.2321328323927956	3.2467275883076603	0.014594755914864699	0.008303020046518322
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	3	0.0005295678898349529	0.0009159555824154175	0.04081632653061224	3.4068993406058983	3.413945486404306	0.007046145798407899	0.0429664645827034
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	4	0.0005139113475939032	0.0009671214954275476	0.02040816326530612	3.352256169065676	3.355526855036282	0.003270685970606202	0.022216264705388192
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	5	0.0008771940210784996	0.0010220878713005366	0.01020408163265306	2.8617459446855738	2.8774714270583934	0.015725482372819677	0.013675911762314065
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	6	0.0005057767883687116	0.0010027620214269062	0.00510204081632653	3.38989660960574	3.3962109144757355	0.006314304869995624	0.007242010113121711
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	7	0.0001757679734738508	0.000498940991007113	0.025510204081632654	3.602550307298232	3.6041454723382245	0.0015951650399923523	0.026344429550112854
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	8	0.0005745997300947109	0.0008861700768323377	0.07653061224489796	3.1516286552761095	3.1613771829465502	0.009748527670440765	0.0789662348188691
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	9	0.00014701627322395776	0.00035805115251330566	0.02040816326530612	3.4010748660397176	3.3987357894482404	0.0023390765914772516	0.021147138350191108
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	10	0.0005441409374968364	0.0010555954143481872	0.025510204081632654	3.345470300878582	3.354008543018303	0.008538242139720875	0.027963764647449763
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	11	0.0004560445330106261	0.000860337217157392	0.04591836734693878	3.3455927183896312	3.355443266454429	0.009850548064797682	0.048219803903586565
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	12	0.0004729221097668738	0.0008418577683901862	0.04081632653061224	3.2647087339471756	3.268609084645403	0.0039003506982271396	0.04252114147859202
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	13	0.0006721178877613517	0.0009511426503542308	0.025510204081632654	3.3325805658045535	3.343003803819316	0.010423238014762415	0.028175788421224476
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	14	0.0002359932621424793	0.0005975545316790898	0.030612244897959183	3.3640094582963442	3.369807355809757	0.005797897513412753	0.03202558244312203
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	15	0.0004515839428275693	0.000880365233947189	0.0	3.106384434292587	3.1076813168774033	0.0012968825848163057	0.0014616374352563889
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	16	0.000522120511425954	0.00101072567433802	0.04081632653061224	3.3753062270361567	3.38017673674035	0.004870509704193449	0.04283622368679556
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	17	0.0005746468688432202	0.0010911530651318557	0.03571428571428571	3.2831017924841963	3.2807691805587487	0.0023326119254476474	0.03761334684080555
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	18	0.0003733075337999051	0.0009533232147334036	0.00510204081632653	3.5926304187693123	3.593513604698633	0.0008831859293207955	0.006516990157791919
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	19	0.0004733437036574109	0.0008901934861459404	0.025510204081632654	3.3786293070642697	3.3818984164088963	0.003269109344626653	0.027200652205898672
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	20	0.0005421400813786575	0.0009334896537739334	0.03571428571428571	2.9854954418165316	2.9844733199196694	0.001022121896862238	0.037292127639124525
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	21	0.0002063451824185775	0.0006201537504150201	0.04591836734693878	3.5330493701273187	3.5358765172812614	0.0028271471539427218	0.04702758099516665
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	22	0.0005439930525341697	0.001011801724707162	0.030612244897959183	3.3420566904260567	3.343001257747707	0.0009445673216501582	0.03226249640736553
original	57	58	80.66	80.562	-0.09799999999999898	10	3	0	23	0.0005553087959786192	0.0009725546742239688	0.015306122448979591	3.2579011643550744	3.2548807630197265	0.0030204013353478665	0.01713602605271697
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	0	3.0496024177387574e-05	9.171758305770439e-05	0.00510204081632653	3.4247159948859323	3.425268387875582	0.0005523929896495972	0.005279493722526582
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	1	0.0002342046250249912	0.0005440066661599463	0.01020408163265306	3.5826928194135843	3.576824953642442	0.005867865771142178	0.011569079500952217
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	2	0.0003815806311385205	0.0009236863477763979	0.015306122448979591	3.487939787282818	3.5088369434919287	0.0208971562091107	0.01870110504880558
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	3	0.0002617077691448991	0.0006458689537575113	0.02040816326530612	3.523789805504954	3.5252805614825165	0.0014907559775623191	0.021464815585964764
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	4	0.000234194501616963	0.0005145651853790678	0.01020408163265306	3.5783992823285717	3.5808039007018575	0.0024046183732857607	0.011193303156977667
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	5	0.00010064012105029385	0.00029114346827185944	0.04591836734693878	3.5218740225418474	3.519966260531898	0.0019077620099494652	0.04650092713725588
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	6	0.00027360842041631564	0.0005447631677127918	0.025510204081632654	3.410305400968637	3.4110623482216536	0.0007569472530164489	0.026404270395063406
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	7	0.0002175257934858235	0.0005268347444131738	0.025510204081632654	3.6176415503722423	3.624090780748761	0.006449230376518678	0.026899487657183516
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	8	0.00028679077133348014	0.0006323111574418894	0.015306122448979591	3.468639002396202	3.4631830319050128	0.005455970491189177	0.01677082142687388
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	9	0.00032047295789210237	0.000654221133309596	0.015306122448979591	3.3344173067146965	3.3336804004759855	0.0007369062387110326	0.01635450716405239
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	10	0.0002944760281399746	0.0007228711647832009	0.02040816326530612	3.54920113716524	3.5468407816320284	0.0023603555332116777	0.021661546011550466
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	11	0.00026511737905029353	0.0005825803751625669	0.02040816326530612	3.534584685136757	3.533584921838192	0.000999763298564993	0.02135583734937548
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	12	0.00027585255997995774	0.000581734370619591	0.05612244897959184	3.4500315372056605	3.4575928881995672	0.007561350993906757	0.05773617100958206
original	57	58	80.66	80.562	-0.09799999999999898	11	3	1	13	0.000254318990852715	0.0006515617743633184	0.03571428571428571	3.5601364673449796	3.5651915645089542	0.005055097163974676	0.03712567619589922
