run	global_block	stage	block	head	mean_js	mean_cosine_distance	mean_topk_overlap_change	mean_entropy_delta	oscillation_score	spike_score	reversal_score	late_window_score	post_peak_drop_score	acc_up_corr	acc_down_corr	harmful_score	beneficial_score	custom_subset_token	stage_block_head
original	11	3	1	0	3.537941199553809e-05	0.00011215457411273277	0.012755102040816327	0.00029019348423457253	0.012931655375348057	1.596278309206348	0.36363636363636365	0.012931655375348057	0.00037859812687348346	-0.12728692153178317	0.12728692153178317	0.967139671065233	0.013356015911820254	11:0	3:1:0
original	11	3	1	1	0.00023279946253063782	0.0005517076862549727	0.013605442176870751	0.006129607641212768	0.015002910089777631	1.494588024396642	0.36363636363636365	0.015002910089777631	0.0006256639428539795	-0.499643655647523	0.499643655647523	1.1054398884601682	0.015374331418163464	11:1	3:1:1
original	11	3	1	2	0.0002973216425014602	0.0006977652961430899	0.021683673469387755	0.006613386410317649	0.023340099049064072	1.6094994199894024	0.45454545454545453	0.023340099049064072	0.0008648772387432435	-0.38341782017834036	0.38341782017834036	1.1368738129074216	0.023973338501010147	11:2	3:1:2
original	11	3	1	3	0.0002862919272397701	0.0006531208771445954	0.02508503401360544	0.00601924297515144	0.02662637111550495	1.2376102830526863	0.6363636363636364	0.02662637111550495	0.0008773149340882348	-0.39191558121321746	0.39191558121321746	1.003923894259844	0.027406044757449153	11:3	3:1:3
original	11	3	1	4	0.00025814321743067753	0.0006410647874629157	0.010629251700680272	0.004341125280803215	0.011962572233654186	2.230699351266338	0.45454545454545453	0.011962572233654186	0.00038529591948269757	0.5626728624259868	-0.5626728624259868	1.2423352328729256	0.2942037431635624	11:4	3:1:4
original	11	3	1	5	0.00010195684054945988	0.000291336511648634	0.04379251700680272	0.001381322105914647	0.044323942569592274	1.6238431870339765	0.45454545454545453	0.044323942569592274	0.0017526112173012116	-0.6439246719707985	0.6439246719707985	1.2986259216716562	0.045372458822342705	11:5	3:1:5
original	11	3	1	6	0.0002892952681180922	0.0005848279316896151	0.017006802721088433	0.003917873491616801	0.018272713270057823	1.5007254454797612	0.5454545454545454	0.018272713270057823	0.0007465651819612901	-0.1100142416569535	0.1100142416569535	0.9627145949603778	0.01897680802366678	11:6	3:1:6
original	11	3	1	7	0.00023578893756656983	0.000601438882987341	0.0272108843537415	0.00450299739347837	0.028498411913643246	1.64559550585356	0.45454545454545453	0.028498411913643246	0.001127940120149	-0.27839913734432803	0.27839913734432803	1.1083805839176526	0.029444201364570516	11:7	3:1:7
original	11	3	1	8	0.00030162915991855017	0.0006378695375432916	0.0391156462585034	0.005253006328567215	0.04058044558882196	1.6816556795954163	0.36363636363636365	0.04058044558882196	0.0011190829420319784	0.29433961235602446	-0.29433961235602446	0.9768684150450381	0.1898757124212319	11:8	3:1:8
original	11	3	1	9	0.00033390152932566566	0.0005872160579577327	0.01360544217687075	0.004109611312436627	0.014937520895397807	2.452389986532411	0.45454545454545453	0.014937520895397807	0.0005092907271006485	-0.25117305972227577	0.25117305972227577	1.4824537794622903	0.015308316635456277	11:9	3:1:9
original	11	3	1	10	0.00028432679335284284	0.0006736781548659735	0.010629251700680272	0.007971739788383983	0.012384430627737487	1.8137708461068374	0.45454545454545453	0.012384430627737487	0.00043757646642384796	0.014922016426204566	-0.014922016426204566	1.0345582094173789	0.02038252975470327	11:10	3:1:10
original	11	3	1	11	0.0002719649922111203	0.0006024356144170943	0.014030612244897956	0.00537780212409078	0.015442793063935251	1.4194857543126929	0.5454545454545454	0.015442793063935251	0.0006694346404429712	-0.37859924012498386	0.37859924012498386	1.0532781304197727	0.015901337667400133	11:11	3:1:11
original	11	3	1	12	0.0002369981066906817	0.00048187863722543023	0.04719387755102041	0.0030208549481505567	0.04821483978975158	1.287332678674765	0.45454545454545453	0.04821483978975158	0.0016779699009574942	0.43138087080132875	-0.43138087080132875	0.8116852190551488	0.2663929417518507	11:12	3:1:12
original	11	3	1	13	0.0002673962361563873	0.0006482053110292337	0.02508503401360544	0.005037495302042561	0.026504385090995317	1.4272638932974862	0.45454545454545453	0.026504385090995317	0.0010018867197480958	0.14567070911059551	-0.14567070911059551	0.8574812469805076	0.1006218373245434	11:13	3:1:13
original	11	3	1	14	0.0001662589310873893	0.00045215503289148623	0.02891156462585034	0.003818576451061021	0.02991183623493532	1.5723811333443805	0.5454545454545454	0.02991183623493532	0.0011269351192130894	-0.40223857243948635	0.40223857243948635	1.157799403738868	0.03069015802578309	11:14	3:1:14
original	11	3	1	15	0.00024100614679408794	0.000640597565865079	0.04336734693877551	0.003969527296790602	0.04464590338111374	1.4035628449813304	0.45454545454545453	0.04464590338111374	0.0018131455398137219	-0.24024112010098217	0.24024112010098217	0.9869571519055426	0.046443995654615815	11:15	3:1:15
original	11	3	1	16	0.00023592621611144646	0.000603679808880995	0.027636054421768714	0.003149848888238623	0.02879064533558501	1.6321936485318749	0.6363636363636364	0.02879064533558501	0.0007756854686900752	0.4855026391455311	-0.4855026391455311	1.0072392803851526	0.273389497135382	11:16	3:1:16
original	11	3	1	17	0.0002326614681418339	0.0005655712496216159	0.02295918367346939	0.0035205687005028055	0.024109473261283116	1.542131120802829	0.45454545454545453	0.024109473261283116	0.0008909854835285212	0.20292169659495474	-0.20292169659495474	0.912255678068919	0.12694218115301736	11:17	3:1:17
original	11	3	1	18	0.00033842662280369676	0.0007000503190496832	0.022108843537414963	0.00797842085133793	0.02394516256440214	1.608221404908649	0.5454545454545454	0.02394516256440214	0.0009472423420334203	-0.1726676027966154	0.1726676027966154	1.0544652264700907	0.024935253892445594	11:18	3:1:18
original	11	3	1	19	0.0002952986445003241	0.0006022743332315672	0.0233843537414966	0.0037083984122460167	0.024652766560453093	2.113914682033626	0.36363636363636365	0.024652766560453093	0.0012922323041534645	-0.1487597677823885	0.1487597677823885	1.251355190041907	0.02567618270324743	11:19	3:1:19
original	11	3	1	20	0.0002765088135748982	0.0006293146412940931	0.023384353741496597	0.005278771668975686	0.02481805436326316	1.5230558719885998	0.45454545454545453	0.02481805436326316	0.0010092822700121197	-0.3764993634352076	0.3764993634352076	1.0918986013597958	0.02550513660534192	11:20	3:1:20
original	11	3	1	21	0.00025977881768148915	0.0005375091568148213	0.00510204081632653	0.003771660207573061	0.0062764948115801465	2.6290912613564665	0.2727272727272727	0.0062764948115801465	0.0002515108072645326	-0.27618069074242796	0.27618069074242796	1.5280348848304457	0.006363035309361908	11:21	3:1:21
original	11	3	1	22	0.00023425652019707768	0.0005323759722002941	0.024234693877551016	0.005730889112859054	0.0255744152812343	1.2586651715987691	0.45454545454545453	0.0255744152812343	0.0008238956305779083	0.20562540537165497	-0.20562540537165497	0.7718140215410427	0.129676517031502	11:22	3:1:22
original	11	3	1	23	0.0002830914444656612	0.0005087281249203102	0.03316326530612245	0.006319756434598626	0.03458706051896829	1.5094968960575268	0.45454545454545453	0.03458706051896829	0.0012019183522590806	-0.29704303595559806	0.29704303595559806	1.0562939021215405	0.03577904149005522	11:23	3:1:23
scheme_c	0	0	0	0	9.270738609897254e-07	2.9396436475685275e-06	0.003401360544217687	0.0002639883527462879	0.003431626097000874	1.5102790475901646	0.45454545454545453	0.003431626097000874	0.0001406844918131408	-0.039837440118362676	0.039837440118362676	0.8926662102870477	0.003615399346848084	0:0	0:0:0
scheme_c	0	0	0	1	5.61740022698315e-07	1.9662162223377244e-07	0.0	0.00020661705447659143	2.1420067092591233e-05	2.8183615259204733	0.6363636363636364	2.1420067092591233e-05	6.907951365936292e-07	-0.3576708297329909	0.3576708297329909	1.7471316194472017	2.1812717348151434e-05	0:1	0:0:1
scheme_c	0	0	0	2	1.1759907372237901e-06	4.399155394796406e-06	0.005952380952380952	0.00011388117139010667	0.005969344215651983	2.566830657870759	0.5454545454545454	0.005969344215651983	0.0003575919892169261	-0.32900578829672583	0.32900578829672583	1.591513237700954	0.0061806996322791245	0:2	0:0:2
