pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
phase2w_vs_phase2s	67	50	43	42	-1	86.0	84.0	-0.010262724943459034	-0.06593098491430283
phase2w_vs_phase2s	979	50	43	42	-1	86.0	84.0	-0.010223419405519962	-0.017133226618170738
phase2w_vs_phase2s	714	50	40	39	-1	80.0	78.0	-0.010222744196653366	-0.0815851092338562
phase2w_vs_phase2s	164	50	47	46	-1	94.0	92.0	-0.009818577207624912	-0.14111340045928955
phase2w_vs_phase2s	537	50	47	46	-1	94.0	92.0	-0.00955240335315466	-0.0963982567191124
phase2w_vs_phase2s	176	50	43	42	-1	86.0	84.0	-0.009049130603671074	-0.03332403302192688
phase2w_vs_phase2s	966	50	34	33	-1	68.0	66.0	-0.008925134316086769	-0.048893023282289505
phase2w_vs_phase2s	415	50	27	26	-1	54.0	52.0	-0.008533190935850143	-0.056519802659749985
phase2w_vs_phase2s	486	50	46	45	-1	92.0	90.0	-0.008494395762681961	-0.02751249261200428
phase2w_vs_phase2s	823	50	40	39	-1	80.0	78.0	-0.008424892090260983	-0.02484736405313015
phase2w_vs_phase2s	233	50	42	41	-1	84.0	82.0	-0.00734548456966877	-0.010502595454454422
phase2w_vs_phase2s	4	50	46	45	-1	92.0	90.0	-0.006974480580538511	-0.147356778383255
phase2w_vs_phase2s	193	50	25	24	-1	50.0	48.0	-0.006788194645196199	0.045814111828804016
phase2w_vs_phase2s	601	50	40	39	-1	80.0	78.0	-0.006633174605667591	-0.006158418487757444
phase2w_vs_phase2s	822	50	46	45	-1	92.0	90.0	-0.006569484248757362	-0.03298557177186012
phase2w_vs_phase2s	456	50	42	41	-1	84.0	82.0	-0.006529065314680338	-0.041656091809272766
phase2w_vs_phase2s	669	50	49	48	-1	98.0	96.0	-0.006384432315826416	0.017178373411297798
phase2w_vs_phase2s	413	50	29	28	-1	58.0	56.0	-0.006301083602011204	-0.013428907841444016
phase2w_vs_phase2s	899	50	17	16	-1	34.0	32.0	-0.0062677813693881035	0.06823655217885971
phase2w_vs_phase2s	220	50	37	36	-1	74.0	72.0	-0.0062542203813791275	-0.11113554239273071
