timestamp	checkpoint	loss	acc1	acc5	samples	delta_vs_80.5980	delta_vs_scheme_c_80.6820	delta_vs_original10to60_80.7240	delta_vs_original10to110_80.7520	delta_vs_dynamic10to110_80.7600	status
2026-07-13T15:39:23Z	checkpoint-107	0.8310	80.6000	95.4220	50000	0.0020	-0.0820	-0.1240	-0.1520	-0.1600	above_baseline
2026-07-13T15:39:23Z	checkpoint-108	0.8329	80.5660	95.4040	50000	-0.0320	-0.1160	-0.1580	-0.1860	-0.1940	below_baseline
2026-07-13T15:39:23Z	checkpoint-109	0.8332	80.4720	95.4200	50000	-0.1260	-0.2100	-0.2520	-0.2800	-0.2880	below_baseline
2026-07-13T15:39:23Z	checkpoint-110	0.8343	80.5580	95.3900	50000	-0.0400	-0.1240	-0.1660	-0.1940	-0.2020	below_baseline
2026-07-13T15:39:23Z	checkpoint-111	0.8356	80.6780	95.3800	50000	0.0800	-0.0040	-0.0460	-0.0740	-0.0820	above_baseline
2026-07-13T15:39:23Z	checkpoint-112	0.8348	80.5320	95.4620	50000	-0.0660	-0.1500	-0.1920	-0.2200	-0.2280	below_baseline
2026-07-13T15:39:23Z	checkpoint-113	0.8346	80.6300	95.3860	50000	0.0320	-0.0520	-0.0940	-0.1220	-0.1300	above_baseline
2026-07-13T15:39:23Z	checkpoint-114	0.8295	80.6420	95.4280	50000	0.0440	-0.0400	-0.0820	-0.1100	-0.1180	above_baseline
2026-07-13T15:39:23Z	checkpoint-115	0.8304	80.6880	95.3700	50000	0.0900	0.0060	-0.0360	-0.0640	-0.0720	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-116	0.8377	80.5960	95.3340	50000	-0.0020	-0.0860	-0.1280	-0.1560	-0.1640	below_baseline
2026-07-13T15:39:23Z	checkpoint-117	0.8311	80.6020	95.3760	50000	0.0040	-0.0800	-0.1220	-0.1500	-0.1580	above_baseline
2026-07-13T15:39:23Z	checkpoint-118	0.8339	80.5460	95.3820	50000	-0.0520	-0.1360	-0.1780	-0.2060	-0.2140	below_baseline
2026-07-13T15:39:23Z	checkpoint-119	0.8333	80.5600	95.3600	50000	-0.0380	-0.1220	-0.1640	-0.1920	-0.2000	below_baseline
2026-07-13T15:39:23Z	checkpoint-120	0.8297	80.5480	95.3980	50000	-0.0500	-0.1340	-0.1760	-0.2040	-0.2120	below_baseline
2026-07-13T15:39:23Z	checkpoint-121	0.8336	80.6260	95.4120	50000	0.0280	-0.0560	-0.0980	-0.1260	-0.1340	above_baseline
2026-07-13T15:39:23Z	checkpoint-122	0.8297	80.5720	95.4200	50000	-0.0260	-0.1100	-0.1520	-0.1800	-0.1880	below_baseline
2026-07-13T15:39:23Z	checkpoint-123	0.8323	80.6160	95.4240	50000	0.0180	-0.0660	-0.1080	-0.1360	-0.1440	above_baseline
2026-07-13T15:39:23Z	checkpoint-124	0.8312	80.6120	95.3900	50000	0.0140	-0.0700	-0.1120	-0.1400	-0.1480	above_baseline
2026-07-13T15:39:23Z	checkpoint-125	0.8286	80.6940	95.4020	50000	0.0960	0.0120	-0.0300	-0.0580	-0.0660	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-126	0.8363	80.5520	95.4200	50000	-0.0460	-0.1300	-0.1720	-0.2000	-0.2080	below_baseline
2026-07-13T15:39:23Z	checkpoint-127	0.8310	80.8040	95.3740	50000	0.2060	0.1220	0.0800	0.0520	0.0440	above_dynamic10to110_best
2026-07-13T15:39:23Z	checkpoint-128	0.8294	80.5880	95.4160	50000	-0.0100	-0.0940	-0.1360	-0.1640	-0.1720	below_baseline
2026-07-13T15:39:23Z	checkpoint-129	0.8313	80.7180	95.4140	50000	0.1200	0.0360	-0.0060	-0.0340	-0.0420	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-130	0.8259	80.5640	95.4220	50000	-0.0340	-0.1180	-0.1600	-0.1880	-0.1960	below_baseline
2026-07-13T15:39:23Z	checkpoint-131	0.8261	80.6480	95.4400	50000	0.0500	-0.0340	-0.0760	-0.1040	-0.1120	above_baseline
2026-07-13T15:39:23Z	checkpoint-132	0.8343	80.5600	95.4340	50000	-0.0380	-0.1220	-0.1640	-0.1920	-0.2000	below_baseline
2026-07-13T15:39:23Z	checkpoint-133	0.8271	80.6960	95.3380	50000	0.0980	0.0140	-0.0280	-0.0560	-0.0640	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-134	0.8323	80.6580	95.4360	50000	0.0600	-0.0240	-0.0660	-0.0940	-0.1020	above_baseline
2026-07-13T15:39:23Z	checkpoint-135	0.8319	80.6200	95.4940	50000	0.0220	-0.0620	-0.1040	-0.1320	-0.1400	above_baseline
2026-07-13T15:39:23Z	checkpoint-136	0.8266	80.7160	95.4280	50000	0.1180	0.0340	-0.0080	-0.0360	-0.0440	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-137	0.8332	80.7280	95.4260	50000	0.1300	0.0460	0.0040	-0.0240	-0.0320	above_original10to60_best
2026-07-13T15:39:23Z	checkpoint-138	0.8299	80.6300	95.4620	50000	0.0320	-0.0520	-0.0940	-0.1220	-0.1300	above_baseline
2026-07-13T15:39:23Z	checkpoint-139	0.8305	80.6260	95.4220	50000	0.0280	-0.0560	-0.0980	-0.1260	-0.1340	above_baseline
2026-07-13T15:39:23Z	checkpoint-140	0.8310	80.6120	95.4140	50000	0.0140	-0.0700	-0.1120	-0.1400	-0.1480	above_baseline
2026-07-13T15:39:23Z	checkpoint-141	0.8334	80.6700	95.4600	50000	0.0720	-0.0120	-0.0540	-0.0820	-0.0900	above_baseline
2026-07-13T15:39:23Z	checkpoint-142	0.8290	80.6720	95.3880	50000	0.0740	-0.0100	-0.0520	-0.0800	-0.0880	above_baseline
2026-07-13T15:39:23Z	checkpoint-143	0.8327	80.6040	95.4340	50000	0.0060	-0.0780	-0.1200	-0.1480	-0.1560	above_baseline
2026-07-13T15:39:23Z	checkpoint-144	0.8308	80.5620	95.4400	50000	-0.0360	-0.1200	-0.1620	-0.1900	-0.1980	below_baseline
2026-07-13T15:39:23Z	checkpoint-145	0.8295	80.4940	95.4340	50000	-0.1040	-0.1880	-0.2300	-0.2580	-0.2660	below_baseline
2026-07-13T15:39:23Z	checkpoint-146	0.8283	80.5000	95.4420	50000	-0.0980	-0.1820	-0.2240	-0.2520	-0.2600	below_baseline
2026-07-13T15:39:23Z	checkpoint-147	0.8351	80.6620	95.4040	50000	0.0640	-0.0200	-0.0620	-0.0900	-0.0980	above_baseline
2026-07-13T15:39:23Z	checkpoint-148	0.8299	80.6220	95.3580	50000	0.0240	-0.0600	-0.1020	-0.1300	-0.1380	above_baseline
2026-07-13T15:39:23Z	checkpoint-149	0.8300	80.6060	95.4000	50000	0.0080	-0.0760	-0.1180	-0.1460	-0.1540	above_baseline
2026-07-13T15:39:23Z	checkpoint-150	0.8325	80.5160	95.3900	50000	-0.0820	-0.1660	-0.2080	-0.2360	-0.2440	below_baseline
2026-07-13T15:39:23Z	checkpoint-151	0.8337	80.6040	95.4000	50000	0.0060	-0.0780	-0.1200	-0.1480	-0.1560	above_baseline
2026-07-13T15:39:23Z	checkpoint-152	0.8318	80.6380	95.3980	50000	0.0400	-0.0440	-0.0860	-0.1140	-0.1220	above_baseline
2026-07-13T15:39:23Z	checkpoint-153	0.8293	80.6880	95.3740	50000	0.0900	0.0060	-0.0360	-0.0640	-0.0720	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-154	0.8248	80.5660	95.4600	50000	-0.0320	-0.1160	-0.1580	-0.1860	-0.1940	below_baseline
2026-07-13T15:39:23Z	checkpoint-155	0.8291	80.6280	95.3960	50000	0.0300	-0.0540	-0.0960	-0.1240	-0.1320	above_baseline
2026-07-13T15:39:23Z	checkpoint-156	0.8312	80.6980	95.3760	50000	0.1000	0.0160	-0.0260	-0.0540	-0.0620	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-157	0.8257	80.7280	95.4260	50000	0.1300	0.0460	0.0040	-0.0240	-0.0320	above_original10to60_best
2026-07-13T15:39:23Z	checkpoint-158	0.8301	80.6020	95.4140	50000	0.0040	-0.0800	-0.1220	-0.1500	-0.1580	above_baseline
2026-07-13T15:39:23Z	checkpoint-159	0.8306	80.6420	95.3820	50000	0.0440	-0.0400	-0.0820	-0.1100	-0.1180	above_baseline
2026-07-13T15:39:23Z	checkpoint-160	0.8287	80.7680	95.4420	50000	0.1700	0.0860	0.0440	0.0160	0.0080	above_dynamic10to110_best
2026-07-13T15:39:23Z	checkpoint-161	0.8313	80.5180	95.4300	50000	-0.0800	-0.1640	-0.2060	-0.2340	-0.2420	below_baseline
2026-07-13T15:39:23Z	checkpoint-162	0.8314	80.7060	95.3920	50000	0.1080	0.0240	-0.0180	-0.0460	-0.0540	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-163	0.8349	80.5340	95.4420	50000	-0.0640	-0.1480	-0.1900	-0.2180	-0.2260	below_baseline
2026-07-13T15:39:23Z	checkpoint-164	0.8290	80.5780	95.4500	50000	-0.0200	-0.1040	-0.1460	-0.1740	-0.1820	below_baseline
2026-07-13T15:39:23Z	checkpoint-165	0.8322	80.6480	95.4260	50000	0.0500	-0.0340	-0.0760	-0.1040	-0.1120	above_baseline
2026-07-13T15:39:23Z	checkpoint-166	0.8304	80.5840	95.3860	50000	-0.0140	-0.0980	-0.1400	-0.1680	-0.1760	below_baseline
2026-07-13T15:39:23Z	checkpoint-167	0.8255	80.6600	95.4840	50000	0.0620	-0.0220	-0.0640	-0.0920	-0.1000	above_baseline
2026-07-13T15:39:23Z	checkpoint-168	0.8303	80.6920	95.4020	50000	0.0940	0.0100	-0.0320	-0.0600	-0.0680	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-169	0.8313	80.6680	95.4180	50000	0.0700	-0.0140	-0.0560	-0.0840	-0.0920	above_baseline
2026-07-13T15:39:23Z	checkpoint-170	0.8358	80.6340	95.4300	50000	0.0360	-0.0480	-0.0900	-0.1180	-0.1260	above_baseline
2026-07-13T15:39:23Z	checkpoint-171	0.8343	80.6140	95.3860	50000	0.0160	-0.0680	-0.1100	-0.1380	-0.1460	above_baseline
2026-07-13T15:39:23Z	checkpoint-172	0.8368	80.7180	95.4400	50000	0.1200	0.0360	-0.0060	-0.0340	-0.0420	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-173	0.8311	80.6440	95.4180	50000	0.0460	-0.0380	-0.0800	-0.1080	-0.1160	above_baseline
2026-07-13T15:39:23Z	checkpoint-174	0.8324	80.6820	95.4700	50000	0.0840	0.0000	-0.0420	-0.0700	-0.0780	above_baseline
2026-07-13T15:39:23Z	checkpoint-175	0.8295	80.6180	95.4000	50000	0.0200	-0.0640	-0.1060	-0.1340	-0.1420	above_baseline
2026-07-13T15:39:23Z	checkpoint-176	0.8289	80.7460	95.3800	50000	0.1480	0.0640	0.0220	-0.0060	-0.0140	above_original10to60_best
2026-07-13T15:39:23Z	checkpoint-177	0.8310	80.5480	95.3840	50000	-0.0500	-0.1340	-0.1760	-0.2040	-0.2120	below_baseline
2026-07-13T15:39:23Z	checkpoint-178	0.8308	80.6600	95.4240	50000	0.0620	-0.0220	-0.0640	-0.0920	-0.1000	above_baseline
2026-07-13T15:39:23Z	checkpoint-179	0.8321	80.6620	95.3780	50000	0.0640	-0.0200	-0.0620	-0.0900	-0.0980	above_baseline
2026-07-13T15:39:23Z	checkpoint-180	0.8231	80.4940	95.4720	50000	-0.1040	-0.1880	-0.2300	-0.2580	-0.2660	below_baseline
2026-07-13T15:39:23Z	checkpoint-181	0.8296	80.7160	95.3820	50000	0.1180	0.0340	-0.0080	-0.0360	-0.0440	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-182	0.8325	80.7020	95.4320	50000	0.1040	0.0200	-0.0220	-0.0500	-0.0580	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-183	0.8276	80.6500	95.3580	50000	0.0520	-0.0320	-0.0740	-0.1020	-0.1100	above_baseline
2026-07-13T15:39:23Z	checkpoint-184	0.8290	80.6860	95.4220	50000	0.0880	0.0040	-0.0380	-0.0660	-0.0740	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-185	0.8286	80.7060	95.4080	50000	0.1080	0.0240	-0.0180	-0.0460	-0.0540	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-186	0.8312	80.6380	95.4620	50000	0.0400	-0.0440	-0.0860	-0.1140	-0.1220	above_baseline
2026-07-13T15:39:23Z	checkpoint-187	0.8268	80.7200	95.4000	50000	0.1220	0.0380	-0.0040	-0.0320	-0.0400	above_scheme_c
2026-07-13T15:39:23Z	checkpoint-188	0.8341	80.5920	95.4180	50000	-0.0060	-0.0900	-0.1320	-0.1600	-0.1680	below_baseline
