section	case	key0	key1	key2	params	numel	rel_l2	delta_l2	base_l2	max_param_rel_l2	max_abs_delta	name	kind	stage	module
top_params	ckpt10_to_phase1f_ckpt2					384	0.2048079008687401	0.03116549365222454	0.1521693915128708		0.003304770216345787	features.5.5.attn.move_v_b4.bias	move_shift	features.5.5	features.5.5.attn.move_v_b4
top_params	ckpt10_to_phase1f_ckpt2					384	0.1957017167446753	0.031879451125860214	0.16289816796779633		0.003171768505126238	features.5.5.attn.proj.move_b4.bias	move_shift	features.5.5	features.5.5.attn.proj.move_b4
top_params	ckpt10_to_phase1f_ckpt2					384	0.18501204845915253	0.03167172893881798	0.1711873859167099		0.003172124270349741	features.5.5.attn.proj.move_aft.bias	move_shift	features.5.5	features.5.5.attn.proj.move_aft
top_params	ckpt10_to_phase1f_ckpt2					768	0.15910943162450247	0.04519040882587433	0.28402093052864075		0.003125582356005907	features.7.1.attn.move_v_aft.bias	move_shift	features.7.1	features.7.1.attn.move_v_aft
top_params	ckpt10_to_phase1f_ckpt2					768	0.13953318440671406	0.04550633206963539	0.3261326849460602		0.003388242796063423	features.7.1.attn.move_v_b4.bias	move_shift	features.7.1	features.7.1.attn.move_v_b4
top_params	ckpt10_to_phase1f_ckpt2					768	0.12562674340925786	0.04500351473689079	0.35823196172714233		0.003266517072916031	features.7.1.attn.proj.move_b4.bias	move_shift	features.7.1	features.7.1.attn.proj.move_b4
top_params	ckpt10_to_phase1f_ckpt2					768	0.10601879284280973	0.044866010546684265	0.4231892228126526		0.003266517072916031	features.7.1.attn.proj.move_aft.bias	move_shift	features.7.1	features.7.1.attn.proj.move_aft
top_params	ckpt10_to_phase1f_ckpt2					384	0.0740406056700365	0.033302128314971924	0.44978195428848267		0.0034574363380670547	features.5.5.attn.quant_x_4_qkv.move_aft.bias	act_quant	features.5.5	features.5.5.attn.quant_x_4_qkv
top_params	ckpt10_to_phase1f_ckpt2					384	0.07112985359401917	0.033507514744997025	0.47107526659965515		0.003452884964644909	features.5.5.attn.quant_x_4_qkv.move_b4.bias	act_quant	features.5.5	features.5.5.attn.quant_x_4_qkv
top_params	ckpt10_to_phase1f_ckpt2					768	0.06118558589813319	0.040124740451574326	0.655787467956543		0.004213988780975342	features.7.1.attn.quant_x_4_qkv.move_b4.bias	act_quant	features.7.1	features.7.1.attn.quant_x_4_qkv
top_params	ckpt10_to_phase1f_ckpt2					768	0.06098032040707751	0.03965240716934204	0.6502492427825928		0.003953039646148682	features.7.1.attn.quant_x_4_qkv.move_aft.bias	act_quant	features.7.1	features.7.1.attn.quant_x_4_qkv
top_params	ckpt10_to_phase1f_ckpt2					3072	0.050972762112289016	0.033507656306028366	0.6573639512062073		0.004919581115245819	features.7.0.mlp.fc2.move_b4.bias	move_shift	features.7.0	features.7.0.mlp.fc2.move_b4
top_params	ckpt10_to_phase1f_ckpt2					384	0.04689441832535999	0.03655918315052986	0.779606282711029		0.003999002277851105	features.5.5.mlp.fc1.move_aft.bias	move_shift	features.5.5	features.5.5.mlp.fc1.move_aft
