epoch	phase	top1	top5	samples	rolling_best	drop	applied_head	applied_weight	applied_spike_score	next_head	next_weight	next_spike_score	triggered	reason	prior_source	cooldown_state	window_pulses
64	observe	80.5740	95.3280	50000	80.6360	0.0620		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
65	observe	80.5980	95.3500	50000	80.6360	0.0380		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
66	observe	80.6140	95.4040	50000	80.6360	0.0220		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
67	observe	80.5600	95.3720	50000	80.6360	0.0760		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
68	observe	80.5440	95.3740	50000	80.6360	0.0920		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
69	observe	80.5440	95.3600	50000	80.6360	0.0920		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
70	observe	80.6240	95.3800	50000	80.6360	0.0120		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
71	observe	80.6940	95.3340	50000	80.6940	0.0000		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
72	observe	80.5820	95.3760	50000	80.6940	0.1120		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
73	observe	80.6360	95.3700	50000	80.6940	0.0580		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
74	observe	80.5060	95.3600	50000	80.6940	0.1880		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
75	observe	80.6180	95.3520	50000	80.6940	0.0760		0	0.000000		0	0.000000	0	observe_only_before_start	offline_attn_relation_late_stabilizer_from_original10to110_and_dynamic10to110_20260712	{}	0
