case	wbits	abits	metric	value
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.numel	588
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.mean	0.03855673968791962
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.std	0.01002225186675787
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.min	0.011092592030763626
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.p05	0.016534743830561638
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.p50	0.039269525557756424
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.p95	0.0532524436712265
phase1h_w4a8_ckpt1_as_w4a8	4	8	quantizer.quan_a_softmax_fn.max	0.05631471052765846
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.5.5.mse	30.005537033081055
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.5.5.mae	1.7231156826019287
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.5.5.rel_l2	0.9735329747200012
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.5.5.student_std	0.9306904673576355
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.5.5.teacher_std	5.626265525817871
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.7.1.mse	5.9447245597839355
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.7.1.mae	1.245186448097229
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.7.1.rel_l2	0.5503698587417603
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.7.1.student_std	3.0801467895507812
phase1h_w4a8_ckpt1_as_w4a4	4	4	features.7.1.teacher_std	4.430030822753906
phase1h_w4a8_ckpt1_as_w4a4	4	4	logits.kl_student_teacher	5.380596160888672
phase1h_w4a8_ckpt1_as_w4a4	4	4	logits.teacher_conf_mean	0.7255218029022217
phase1h_w4a8_ckpt1_as_w4a4	4	4	logits.student_top1_agree	0.0
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.numel	1761
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.mean	0.056676894426345825
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.std	0.03969436511397362
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.min	0.010759701952338219
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.p05	0.018500521779060364
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.p50	0.044461023062467575
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.p95	0.1513173133134842
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.input_quant_fn.max	0.27745896577835083
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.numel	6762
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.mean	0.03252860903739929
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.std	0.012639712542295456
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.min	0.0006502600735984743
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.p05	0.017276933416724205
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.p50	0.03155837208032608
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.p95	0.04930143430829048
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_qkx_fn.max	0.1332147717475891
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_v_fn.numel	4416
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_v_fn.mean	0.22788722813129425
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_v_fn.std	0.05992329493165016
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_v_fn.min	0.0474715419113636
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_v_fn.p05	0.13373619318008423
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_v_fn.p50	0.23133501410484314
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_v_fn.p95	0.3253173232078552
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_v_fn.max	0.4139089584350586
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_softmax_fn.numel	588
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_softmax_fn.mean	0.03855673968791962
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_softmax_fn.std	0.01002225186675787
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_softmax_fn.min	0.011092592030763626
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_softmax_fn.p05	0.016534743830561638
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_softmax_fn.p50	0.039269525557756424
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_softmax_fn.p95	0.0532524436712265
phase1h_w4a8_ckpt1_as_w4a4	4	4	quantizer.quan_a_softmax_fn.max	0.05631471052765846
phase1h_w4a4_ckpt2	4	4	features.5.5.mse	20.262306213378906
phase1h_w4a4_ckpt2	4	4	features.5.5.mae	1.829218864440918
phase1h_w4a4_ckpt2	4	4	features.5.5.rel_l2	0.8000081777572632
phase1h_w4a4_ckpt2	4	4	features.5.5.student_std	3.5468063354492188
phase1h_w4a4_ckpt2	4	4	features.5.5.teacher_std	5.626265525817871
phase1h_w4a4_ckpt2	4	4	features.7.1.mse	8.979689598083496
phase1h_w4a4_ckpt2	4	4	features.7.1.mae	1.2318642139434814
phase1h_w4a4_ckpt2	4	4	features.7.1.rel_l2	0.6764246225357056
phase1h_w4a4_ckpt2	4	4	features.7.1.student_std	2.2058897018432617
phase1h_w4a4_ckpt2	4	4	features.7.1.teacher_std	4.430030822753906
phase1h_w4a4_ckpt2	4	4	logits.kl_student_teacher	3.115657329559326
phase1h_w4a4_ckpt2	4	4	logits.teacher_conf_mean	0.7255218029022217
phase1h_w4a4_ckpt2	4	4	logits.student_top1_agree	0.234375
phase1h_w4a4_ckpt2	4	4	quantizer.input_quant_fn.numel	1761
phase1h_w4a4_ckpt2	4	4	quantizer.input_quant_fn.mean	0.32729026675224304
phase1h_w4a4_ckpt2	4	4	quantizer.input_quant_fn.std	0.2605534791946411
phase1h_w4a4_ckpt2	4	4	quantizer.input_quant_fn.min	0.0727248340845108
phase1h_w4a4_ckpt2	4	4	quantizer.input_quant_fn.p05	0.115395188331604
phase1h_w4a4_ckpt2	4	4	quantizer.input_quant_fn.p50	0.22823427617549896
phase1h_w4a4_ckpt2	4	4	quantizer.input_quant_fn.p95	0.9698842763900757
phase1h_w4a4_ckpt2	4	4	quantizer.input_quant_fn.max	3.260913610458374
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_qkx_fn.numel	6762
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_qkx_fn.mean	0.1909055858850479
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_qkx_fn.std	0.06889321655035019
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_qkx_fn.min	0.06321915239095688
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_qkx_fn.p05	0.10752894729375839
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_qkx_fn.p50	0.17824777960777283
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_qkx_fn.p95	0.320892870426178
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_qkx_fn.max	0.5753756761550903
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_v_fn.numel	4416
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_v_fn.mean	0.22458341717720032
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_v_fn.std	0.05870407447218895
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_v_fn.min	0.050304774194955826
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_v_fn.p05	0.13356363773345947
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_v_fn.p50	0.22706735134124756
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_v_fn.p95	0.32408058643341064
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_v_fn.max	0.4135212004184723
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_softmax_fn.numel	588
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_softmax_fn.mean	0.036644261330366135
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_softmax_fn.std	0.010900376364588737
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_softmax_fn.min	0.011789710260927677
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_softmax_fn.p05	0.016082413494586945
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_softmax_fn.p50	0.0385272353887558
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_softmax_fn.p95	0.051277123391628265
phase1h_w4a4_ckpt2	4	4	quantizer.quan_a_softmax_fn.max	0.055228833109140396
phase1i_w4a6_ckpt2_as_w4a6	4	6	features.5.5.mse	11.210490226745605
phase1i_w4a6_ckpt2_as_w4a6	4	6	features.5.5.mae	1.3890407085418701
phase1i_w4a6_ckpt2_as_w4a6	4	6	features.5.5.rel_l2	0.5950620770454407
phase1i_w4a6_ckpt2_as_w4a6	4	6	features.5.5.student_std	4.118748188018799
phase1i_w4a6_ckpt2_as_w4a6	4	6	features.5.5.teacher_std	5.626265525817871
phase1i_w4a6_ckpt2_as_w4a6	4	6	features.7.1.mse	5.296075820922852
phase1i_w4a6_ckpt2_as_w4a6	4	6	features.7.1.mae	1.0048452615737915
phase1i_w4a6_ckpt2_as_w4a6	4	6	features.7.1.rel_l2	0.5194764733314514
phase1i_w4a6_ckpt2_as_w4a6	4	6	features.7.1.student_std	2.9070544242858887
phase1i_w4a6_ckpt2_as_w4a6	4	6	features.7.1.teacher_std	4.430030822753906
phase1i_w4a6_ckpt2_as_w4a6	4	6	logits.kl_student_teacher	0.7454307079315186
phase1i_w4a6_ckpt2_as_w4a6	4	6	logits.teacher_conf_mean	0.7255218029022217
phase1i_w4a6_ckpt2_as_w4a6	4	6	logits.student_top1_agree	0.703125
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.input_quant_fn.numel	1761
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.input_quant_fn.mean	0.15092292428016663
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.input_quant_fn.std	0.11132027208805084
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.input_quant_fn.min	0.02851107157766819
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.input_quant_fn.p05	0.04753828048706055
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.input_quant_fn.p50	0.1070408746600151
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.input_quant_fn.p95	0.4492737948894501
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.input_quant_fn.max	0.6994946002960205
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_qkx_fn.numel	6762
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_qkx_fn.mean	0.09202917665243149
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_qkx_fn.std	0.03204609826207161
phase1i_w4a6_ckpt2_as_w4a6	4	6	quantizer.quan_a_qkx_fn.min	0.029829267412424088
