case	checkpoint	quantizer	all_positive	bit	channels	clip_excess_max	clip_excess_mean	clip_rate	input_abs_max	input_abs_mean	normalized_max	normalized_p95	normalized_p99	quant_abs_error_mean	quant_abs_error_p99	scale_max	scale_mean	scale_min	target_ratio_0p999_max	target_ratio_0p999_mean	target_ratio_0p999_min	target_ratio_0p99_max	target_ratio_0p99_mean	target_ratio_0p99_min	tokens
phase1f_best	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.7.1.attn.quan_a_qkx_fn	0.0	4.0	1176.0	2.109695851802826	0.0004623779677785933	0.0033249412081204355	3.20708429813385	0.20787584781646729	4.4845850467681885	0.5618753731250763	0.8175648599863052	0.03637010883539915	0.08077346719801426	0.21745271980762482	0.1438790112733841	0.05049188435077667	2.1628400087356567	1.084035485982895	0.6385239511728287	1.448435664176941	0.7677844166755676	0.4791105091571808	57802752.0
phase1f_best	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.7.1.mlp.fc1.input_quant_fn	0.0	4.0	7.0	18.84919834136963	0.005695460480637848	0.002852459321729839	24.968825817108154	0.910388857126236	4.086080372333527	0.44665122777223587	0.7225600481033325	0.2213818095624447	0.43670952320098877	0.8987126350402832	0.8669266700744629	0.8436068892478943	1.4424354434013367	1.32554429769516	1.1908382773399353	0.7603805661201477	0.7006997019052505	0.6004157662391663	2408448.0
phase1f_best	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.7.1.attn.proj.input_quant_fn	0.0	4.0	49.0	1.049718827009201	0.0002484959004505072	0.0015750806778669357	2.509406328201294	0.19921525567770004	1.7197065651416779	0.4385203421115875	0.7178167998790741	0.05166090466082096	0.10460391640663147	0.2246898114681244	0.21129004657268524	0.2065637707710266	1.1066873669624329	1.0497416257858276	0.9891441613435745	0.7751237601041794	0.7206138223409653	0.6699941903352737	2408448.0
phase1f_best	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.5.5.attn.proj.input_quant_fn	0.0	4.0	49.0	1.0152163207530975	0.0002562455883889925	0.0012890043726656586	2.785132348537445	0.3118126392364502	1.583951473236084	0.46082182228565216	0.6907345056533813	0.0624134186655283	0.12696412578225136	0.27078694105148315	0.25465190410614014	0.23935529589653015	1.0804138481616974	1.0192456245422363	0.9588411748409271	0.7525381445884705	0.7093911319971085	0.667022705078125	4816896.0
phase1f_best	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.5.5.attn.quan_a_softmax_fn	1.0	4.0	49.0	0.2515159845352173	7.355061097769067e-05	0.0008602372981840745	0.9990274757146835	0.020408164709806442	1.3407171368598938	0.099665442481637	0.29713210463523865	0.005212170537561178	0.025170599576085806	0.05647614598274231	0.052466072142124176	0.04906678944826126	1.1287707090377808	0.9480944722890854	0.7605176120996475	0.46369583904743195	0.39393386989831924	0.3188810423016548	7375872.0
phase1f_best	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.5.5.mlp.fc2.input_quant_fn	1.0	4.0	14.0	43.877774238586426	0.0015019526763353497	0.000220305249968078	54.175153732299805	0.10324763506650925	10.805512428283691	0.0916234701871872	0.2916880324482918	0.04241288639605045	0.27111154049634933	1.1947247982025146	0.44153594970703125	0.28114140033721924	0.9548613131046295	0.6586971580982208	0.5249077156186104	0.30680518597364426	0.25880154967308044	0.11723353154957294	19267584.0
phase1f_best	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.7.1.attn.quan_a_softmax_fn	1.0	4.0	49.0	0.40557852387428284	1.4166903156365152e-05	0.00013503488662536256	0.9601672887802124	0.020408164709806442	1.7381178736686707	0.137775219976902	0.2997758015990257	0.007292792201042175	0.019600301049649715	0.05010787770152092	0.03907877579331398	0.03575994074344635	0.7153842151165009	0.6120317876338959	0.5117593184113503	0.3612523078918457	0.3127647042274475	0.25817523151636124	3687936.0
phase1f_best	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_prerecon100_lowlr_b_20260706/checkpoint-2.pth.tar	features.7.1.mlp.fc2.input_quant_fn	1.0	4.0	7.0	7.429356575012207	2.4850230147421826e-05	1.2611855936484062e-05	18.449399948120117	0.050343506038188934	1.674616277217865	0.008268775651231408	0.11018072068691254	0.0150691126473248	0.2695448696613312	0.7448350191116333	0.7329518795013428	0.7267294526100159	0.38043829053640366	0.33908283710479736	0.2894231900572777	0.12558995932340622	0.10445468872785568	0.07799621298909187	9633792.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.5.5.attn.quan_a_qkx_fn	0.0	4.0	588.0	1.9662298262119293	0.0005307834508130327	0.0035183014115318656	3.2190626859664917	0.28990430384874344	2.6938775181770325	0.6256982684135437	0.8585462868213654	0.042331017553806305	0.09001126326620579	0.19942519068717957	0.16776083409786224	0.09396423399448395	1.550377517938614	1.138511449098587	0.9569994211196899	1.083962082862854	0.8448257446289062	0.6948602944612503	57802752.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.7.1.attn.quant_x_4_qkv.input_quant_fn	0.0	4.0	49.0	2.1263692378997803	0.0015513690595980734	0.0032851030700840056	3.7165014147758484	0.2636573761701584	2.3869475722312927	0.4899657815694809	0.7873203009366989	0.058474947698414326	0.11589591205120087	0.2404291182756424	0.22973927855491638	0.2048524171113968	2.1266857385635376	1.4159509539604187	1.2058395445346832	0.837488517165184	0.7134436666965485	0.42352472245693207	2408448.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.5.5.attn.quan_a_v_fn	0.0	4.0	384.0	2.4084518551826477	0.0007641151460120454	0.0025171811576001346	5.256182074546814	0.5154118537902832	1.9742176234722137	0.5937168300151825	0.8206839859485626	0.08192521706223488	0.1732233613729477	0.49950119853019714	0.3254050016403198	0.23490571975708008	1.4176271855831146	1.0617932081222534	0.8411866128444672	1.2974741160869598	0.8039426654577255	0.6381114274263382	4816896.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.5.5.attn.quant_x_4_qkv.input_quant_fn	0.0	4.0	49.0	2.279346227645874	0.000642914033960551	0.002441509917844087	4.574536681175232	0.5342922359704971	1.9981775283813477	0.5937619507312775	0.8142385482788086	0.08185693994164467	0.16211476549506187	0.3318427503108978	0.32555991411209106	0.30768099427223206	1.1585023403167725	1.1068620383739471	1.0639552175998688	0.854372575879097	0.8156675696372986	0.7770484536886215	4816896.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.7.1.attn.quan_a_v_fn	0.0	4.0	768.0	2.0203515887260437	0.0005969943158561364	0.0023973944480530918	4.717759609222412	0.40285761654376984	1.9136701226234436	0.5797285884618759	0.8211924731731415	0.07072705402970314	0.1560092456638813	0.4487681984901428	0.28126439452171326	0.2291262000799179	1.6413555443286896	1.0303193926811218	0.7239818274974823	1.3002736270427704	0.7669052481651306	0.5579896122217178	2408448.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.5.5.mlp.fc1.input_quant_fn	0.0	4.0	14.0	5.018895983695984	0.0036394529743120074	0.0023688491201028228	10.096983432769775	0.7838643938302994	2.047951102256775	0.3951229304075241	0.5457882732152939	0.1794893443584442	0.35105134546756744	0.760247528553009	0.7051357626914978	0.6781790852546692	1.4248394072055817	1.3147660195827484	1.2328670918941498	0.6601209491491318	0.618262991309166	0.5512847900390625	4816896.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.7.1.attn.proj.input_quant_fn	0.0	4.0	49.0	1.3135973513126373	0.0003305465215817094	0.001705558883259073	2.803354501724243	0.19548185914754868	1.8825004398822784	0.42548084259033203	0.7127494663000107	0.0533503657206893	0.10730804689228535	0.23266591131687164	0.21646705269813538	0.2100728452205658	1.1606657803058624	1.0713779628276825	0.9993553012609482	0.7594121545553207	0.7057106494903564	0.6456962823867798	2408448.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.7.1.attn.quan_a_qkx_fn	0.0	4.0	1176.0	2.0491344034671783	0.00022542170700035058	0.0015139893512241542	3.1517385840415955	0.2072874829173088	3.5476250648498535	0.5153290331363678	0.7350273430347443	0.0380196338519454	0.08348987624049187	0.21481621265411377	0.1513129621744156	0.05758655071258545	1.6950199902057648	1.010742574930191	0.6983228623867035	1.1534523665904999	0.7157170623540878	0.52215376496315	57802752.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.7.1.mlp.fc1.input_quant_fn	0.0	4.0	7.0	17.39555025100708	0.002831399440765381	0.0013839825114700943	24.290592670440674	0.848701000213623	3.543675422668457	0.3633403480052948	0.5909711271524429	0.2506331726908684	0.509019285440445	1.0531219244003296	0.9952418804168701	0.9479714035987854	1.1694871187210083	1.0791053771972656	0.957000344991684	0.6256724148988724	0.571357473731041	0.48208415508270264	2408448.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.5.5.attn.proj.input_quant_fn	0.0	4.0	49.0	1.2653813064098358	0.00023162004072219133	0.0010581502865534276	3.091094434261322	0.30649105459451675	1.7007043063640594	0.4509115666151047	0.6694442629814148	0.06291507184505463	0.12773198261857033	0.2687341272830963	0.2573888301849365	0.24634605646133423	1.0582328140735626	0.9978529512882233	0.9510585516691208	0.7293807566165924	0.6845945715904236	0.6456114053726196	4816896.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.5.5.attn.quan_a_softmax_fn	1.0	4.0	49.0	0.2623404860496521	7.900613854872063e-05	0.0009290766174672171	0.999412789940834	0.020408164709806442	1.3578489422798157	0.09935934655368328	0.29657863080501556	0.005216400022618473	0.02503856085240841	0.05688045918941498	0.052196335047483444	0.04863656312227249	1.151752084493637	0.9610887169837952	0.7779050171375275	0.475444070994854	0.3971809819340706	0.3262210488319397	7375872.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.5.5.mlp.fc2.input_quant_fn	1.0	4.0	14.0	42.59373188018799	0.0017635455878917128	0.0003574526999727823	54.89092826843262	0.1007029302418232	12.30577301979065	0.09624730981886387	0.3289376497268677	0.041456981562078	0.24209022521972656	1.1922591924667358	0.39323732256889343	0.23408442735671997	0.9967436343431473	0.7448715716600418	0.6603061109781265	0.3595943972468376	0.29623978585004807	0.11059854179620743	19267584.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.7.1.attn.quan_a_softmax_fn	1.0	4.0	49.0	0.4057874530553818	1.4045162970433012e-05	0.00012866276119893882	0.962715208530426	0.020408164709806442	1.747679591178894	0.13589198514819145	0.2817128896713257	0.007244699401780963	0.019403737969696522	0.04712291061878204	0.03882933408021927	0.03569831699132919	0.6719541400671005	0.5913888067007065	0.5104178413748741	0.3412160351872444	0.2987118512392044	0.25533777475357056	3687936.0
phase1w_actpercentile	/mlx_devbox/users/quyanyi/playground/qat_public_repro/recipe_resume10_actpercentile_prerecon_gate_20260707/checkpoint-1.pth.tar	features.7.1.mlp.fc2.input_quant_fn	1.0	4.0	7.0	10.085512161254883	7.65424920246005e-05	4.167621591477655e-05	18.588757514953613	0.047462002374231815	2.187266767024994	0.010435594478622079	0.13047751784324646	0.012842499418184161	0.20723536983132362	0.5764647722244263	0.5585942268371582	0.5354089140892029	0.4714832007884979	0.42059464752674103	0.3691715970635414	0.14862707257270813	0.12368548102676868	0.09177307225763798	9633792.0
