timestamp	checkpoint	loss	acc1	acc5	samples	delta_vs_80.5980	delta_vs_scheme_c_80.6820	delta_vs_original_80.7240	delta_vs_dynamic_80.7600	status
2026-07-12T03:52:40Z	checkpoint-25	0.8385	80.4600	95.3220	50000	-0.1380	-0.2220	-0.2640	-0.3000	below_baseline
2026-07-12T03:52:40Z	checkpoint-26	0.8442	80.3800	95.3140	50000	-0.2180	-0.3020	-0.3440	-0.3800	below_baseline
2026-07-12T03:52:40Z	checkpoint-27	0.8400	80.4660	95.3280	50000	-0.1320	-0.2160	-0.2580	-0.2940	below_baseline
2026-07-12T03:52:40Z	checkpoint-28	0.8376	80.4700	95.2960	50000	-0.1280	-0.2120	-0.2540	-0.2900	below_baseline
2026-07-12T03:52:40Z	checkpoint-29	0.8409	80.3600	95.3560	50000	-0.2380	-0.3220	-0.3640	-0.4000	below_baseline
2026-07-12T03:52:40Z	checkpoint-30	0.8380	80.4880	95.3300	50000	-0.1100	-0.1940	-0.2360	-0.2720	below_baseline
2026-07-12T03:52:40Z	checkpoint-31	0.8438	80.3800	95.2800	50000	-0.2180	-0.3020	-0.3440	-0.3800	below_baseline
2026-07-12T03:52:40Z	checkpoint-32	0.8373	80.5980	95.3180	50000	0.0000	-0.0840	-0.1260	-0.1620	below_baseline
2026-07-12T03:52:40Z	checkpoint-33	0.8394	80.5200	95.3880	50000	-0.0780	-0.1620	-0.2040	-0.2400	below_baseline
2026-07-12T03:52:40Z	checkpoint-34	0.8421	80.4040	95.3000	50000	-0.1940	-0.2780	-0.3200	-0.3560	below_baseline
2026-07-12T03:52:40Z	checkpoint-35	0.8366	80.4500	95.3840	50000	-0.1480	-0.2320	-0.2740	-0.3100	below_baseline
2026-07-12T03:52:40Z	checkpoint-36	0.8394	80.6020	95.3420	50000	0.0040	-0.0800	-0.1220	-0.1580	above_baseline
2026-07-12T03:52:40Z	checkpoint-37	0.8350	80.5460	95.4000	50000	-0.0520	-0.1360	-0.1780	-0.2140	below_baseline
2026-07-12T03:52:40Z	checkpoint-38	0.8346	80.5040	95.3220	50000	-0.0940	-0.1780	-0.2200	-0.2560	below_baseline
2026-07-12T03:52:40Z	checkpoint-39	0.8410	80.5040	95.3260	50000	-0.0940	-0.1780	-0.2200	-0.2560	below_baseline
2026-07-12T03:52:40Z	checkpoint-40	0.8343	80.4740	95.3960	50000	-0.1240	-0.2080	-0.2500	-0.2860	below_baseline
2026-07-12T03:52:40Z	checkpoint-41	0.8343	80.5280	95.3220	50000	-0.0700	-0.1540	-0.1960	-0.2320	below_baseline
2026-07-12T03:52:40Z	checkpoint-42	0.8343	80.5480	95.3680	50000	-0.0500	-0.1340	-0.1760	-0.2120	below_baseline
2026-07-12T03:52:40Z	checkpoint-43	0.8402	80.5740	95.3700	50000	-0.0240	-0.1080	-0.1500	-0.1860	below_baseline
2026-07-12T03:52:40Z	checkpoint-44	0.8358	80.4960	95.2740	50000	-0.1020	-0.1860	-0.2280	-0.2640	below_baseline
2026-07-12T03:52:40Z	checkpoint-45	0.8308	80.5420	95.3280	50000	-0.0560	-0.1400	-0.1820	-0.2180	below_baseline
2026-07-12T03:52:40Z	checkpoint-46	0.8359	80.5320	95.3120	50000	-0.0660	-0.1500	-0.1920	-0.2280	below_baseline
2026-07-12T03:52:40Z	checkpoint-47	0.8348	80.5780	95.3820	50000	-0.0200	-0.1040	-0.1460	-0.1820	below_baseline
2026-07-12T03:52:40Z	checkpoint-48	0.8377	80.5840	95.3080	50000	-0.0140	-0.0980	-0.1400	-0.1760	below_baseline
2026-07-12T03:52:40Z	checkpoint-49	0.8344	80.5820	95.3620	50000	-0.0160	-0.1000	-0.1420	-0.1780	below_baseline
2026-07-12T03:52:40Z	checkpoint-50	0.8326	80.5800	95.3700	50000	-0.0180	-0.1020	-0.1440	-0.1800	below_baseline
2026-07-12T03:52:40Z	checkpoint-51	0.8330	80.5200	95.3340	50000	-0.0780	-0.1620	-0.2040	-0.2400	below_baseline
2026-07-12T03:52:40Z	checkpoint-52	0.8365	80.5120	95.3500	50000	-0.0860	-0.1700	-0.2120	-0.2480	below_baseline
2026-07-12T03:52:40Z	checkpoint-53	0.8395	80.5300	95.3280	50000	-0.0680	-0.1520	-0.1940	-0.2300	below_baseline
2026-07-12T03:52:40Z	checkpoint-54	0.8307	80.4860	95.3340	50000	-0.1120	-0.1960	-0.2380	-0.2740	below_baseline
2026-07-12T03:52:40Z	checkpoint-55	0.8370	80.4300	95.3240	50000	-0.1680	-0.2520	-0.2940	-0.3300	below_baseline
2026-07-12T03:52:40Z	checkpoint-56	0.8323	80.5120	95.3700	50000	-0.0860	-0.1700	-0.2120	-0.2480	below_baseline
2026-07-12T03:52:40Z	checkpoint-57	0.8299	80.6200	95.4140	50000	0.0220	-0.0620	-0.1040	-0.1400	above_baseline
2026-07-12T03:52:40Z	checkpoint-58	0.8373	80.5560	95.3520	50000	-0.0420	-0.1260	-0.1680	-0.2040	below_baseline
2026-07-12T03:52:40Z	checkpoint-59	0.8309	80.6460	95.3240	50000	0.0480	-0.0360	-0.0780	-0.1140	above_baseline
2026-07-12T03:52:40Z	checkpoint-60	0.8373	80.5900	95.4140	50000	-0.0080	-0.0920	-0.1340	-0.1700	below_baseline
2026-07-12T03:52:40Z	checkpoint-61	0.8315	80.5280	95.4380	50000	-0.0700	-0.1540	-0.1960	-0.2320	below_baseline
2026-07-12T03:52:40Z	checkpoint-62	0.8355	80.6180	95.3320	50000	0.0200	-0.0640	-0.1060	-0.1420	above_baseline
2026-07-12T03:52:40Z	checkpoint-63	0.8264	80.5500	95.4160	50000	-0.0480	-0.1320	-0.1740	-0.2100	below_baseline
2026-07-12T03:52:40Z	checkpoint-64	0.8295	80.5960	95.3500	50000	-0.0020	-0.0860	-0.1280	-0.1640	below_baseline
2026-07-12T03:52:40Z	checkpoint-65	0.8313	80.5960	95.3940	50000	-0.0020	-0.0860	-0.1280	-0.1640	below_baseline
2026-07-12T03:52:40Z	checkpoint-66	0.8313	80.6380	95.3740	50000	0.0400	-0.0440	-0.0860	-0.1220	above_baseline
2026-07-12T03:52:40Z	checkpoint-67	0.8351	80.6360	95.3300	50000	0.0380	-0.0460	-0.0880	-0.1240	above_baseline
2026-07-12T03:52:40Z	checkpoint-68	0.8372	80.6700	95.3960	50000	0.0720	-0.0120	-0.0540	-0.0900	above_baseline
2026-07-12T03:52:40Z	checkpoint-69	0.8342	80.4860	95.3820	50000	-0.1120	-0.1960	-0.2380	-0.2740	below_baseline
2026-07-12T03:52:40Z	checkpoint-70	0.8337	80.5360	95.3800	50000	-0.0620	-0.1460	-0.1880	-0.2240	below_baseline
2026-07-12T03:52:40Z	checkpoint-71	0.8328	80.5700	95.3620	50000	-0.0280	-0.1120	-0.1540	-0.1900	below_baseline
2026-07-12T03:52:40Z	checkpoint-72	0.8305	80.6000	95.2940	50000	0.0020	-0.0820	-0.1240	-0.1600	above_baseline
2026-07-12T03:52:40Z	checkpoint-73	0.8338	80.5760	95.3900	50000	-0.0220	-0.1060	-0.1480	-0.1840	below_baseline
2026-07-12T03:52:40Z	checkpoint-74	0.8355	80.6140	95.4340	50000	0.0160	-0.0680	-0.1100	-0.1460	above_baseline
2026-07-12T03:52:40Z	checkpoint-75	0.8329	80.4820	95.3860	50000	-0.1160	-0.2000	-0.2420	-0.2780	below_baseline
2026-07-12T03:52:40Z	checkpoint-76	0.8346	80.4720	95.3660	50000	-0.1260	-0.2100	-0.2520	-0.2880	below_baseline
2026-07-12T03:52:40Z	checkpoint-77	0.8294	80.6900	95.4580	50000	0.0920	0.0080	-0.0340	-0.0700	above_scheme_c
2026-07-12T03:52:40Z	checkpoint-78	0.8314	80.5640	95.3700	50000	-0.0340	-0.1180	-0.1600	-0.1960	below_baseline
2026-07-12T03:52:40Z	checkpoint-79	0.8329	80.6960	95.3980	50000	0.0980	0.0140	-0.0280	-0.0640	above_scheme_c
2026-07-12T03:52:40Z	checkpoint-80	0.8282	80.6560	95.4120	50000	0.0580	-0.0260	-0.0680	-0.1040	above_baseline
2026-07-12T03:52:40Z	checkpoint-81	0.8323	80.5940	95.4240	50000	-0.0040	-0.0880	-0.1300	-0.1660	below_baseline
2026-07-12T03:52:40Z	checkpoint-82	0.8316	80.5820	95.3660	50000	-0.0160	-0.1000	-0.1420	-0.1780	below_baseline
2026-07-12T03:52:40Z	checkpoint-83	0.8275	80.6120	95.4320	50000	0.0140	-0.0700	-0.1120	-0.1480	above_baseline
2026-07-12T03:52:40Z	checkpoint-84	0.8340	80.5780	95.3580	50000	-0.0200	-0.1040	-0.1460	-0.1820	below_baseline
2026-07-12T03:52:40Z	checkpoint-85	0.8323	80.6440	95.4120	50000	0.0460	-0.0380	-0.0800	-0.1160	above_baseline
2026-07-12T03:52:40Z	checkpoint-86	0.8334	80.5200	95.3660	50000	-0.0780	-0.1620	-0.2040	-0.2400	below_baseline
2026-07-12T03:52:40Z	checkpoint-87	0.8308	80.5760	95.3540	50000	-0.0220	-0.1060	-0.1480	-0.1840	below_baseline
2026-07-12T03:52:40Z	checkpoint-88	0.8350	80.5620	95.3620	50000	-0.0360	-0.1200	-0.1620	-0.1980	below_baseline
2026-07-12T03:52:40Z	checkpoint-89	0.8288	80.5960	95.4120	50000	-0.0020	-0.0860	-0.1280	-0.1640	below_baseline
2026-07-12T03:52:40Z	checkpoint-90	0.8344	80.6200	95.3720	50000	0.0220	-0.0620	-0.1040	-0.1400	above_baseline
2026-07-12T03:52:40Z	checkpoint-91	0.8320	80.6400	95.3340	50000	0.0420	-0.0420	-0.0840	-0.1200	above_baseline
2026-07-12T03:52:40Z	checkpoint-92	0.8334	80.5540	95.3600	50000	-0.0440	-0.1280	-0.1700	-0.2060	below_baseline
2026-07-12T03:52:40Z	checkpoint-93	0.8303	80.6780	95.4200	50000	0.0800	-0.0040	-0.0460	-0.0820	above_baseline
2026-07-12T03:52:40Z	checkpoint-94	0.8307	80.6880	95.3460	50000	0.0900	0.0060	-0.0360	-0.0720	above_scheme_c
2026-07-12T03:52:40Z	checkpoint-95	0.8322	80.6120	95.4080	50000	0.0140	-0.0700	-0.1120	-0.1480	above_baseline
2026-07-12T03:52:40Z	checkpoint-96	0.8280	80.7500	95.4240	50000	0.1520	0.0680	0.0260	-0.0100	above_original_best
2026-07-12T03:52:40Z	checkpoint-97	0.8344	80.5420	95.3940	50000	-0.0560	-0.1400	-0.1820	-0.2180	below_baseline
2026-07-12T03:52:40Z	checkpoint-98	0.8323	80.7120	95.3840	50000	0.1140	0.0300	-0.0120	-0.0480	above_scheme_c
2026-07-12T03:52:40Z	checkpoint-99	0.8293	80.6620	95.4000	50000	0.0640	-0.0200	-0.0620	-0.0980	above_baseline
2026-07-12T03:52:40Z	checkpoint-100	0.8365	80.6800	95.4400	50000	0.0820	-0.0020	-0.0440	-0.0800	above_baseline
2026-07-12T03:52:40Z	checkpoint-101	0.8260	80.6800	95.4320	50000	0.0820	-0.0020	-0.0440	-0.0800	above_baseline
2026-07-12T03:52:40Z	checkpoint-102	0.8284	80.7520	95.4300	50000	0.1540	0.0700	0.0280	-0.0080	above_original_best
2026-07-12T03:52:40Z	checkpoint-103	0.8230	80.6080	95.3520	50000	0.0100	-0.0740	-0.1160	-0.1520	above_baseline
2026-07-12T03:52:40Z	checkpoint-104	0.8343	80.6160	95.3600	50000	0.0180	-0.0660	-0.1080	-0.1440	above_baseline
2026-07-12T03:52:40Z	checkpoint-105	0.8306	80.6640	95.4300	50000	0.0660	-0.0180	-0.0600	-0.0960	above_baseline
2026-07-12T03:52:40Z	checkpoint-106	0.8300	80.6120	95.3880	50000	0.0140	-0.0700	-0.1120	-0.1480	above_baseline
2026-07-12T03:52:40Z	checkpoint-107	0.8305	80.6380	95.4740	50000	0.0400	-0.0440	-0.0860	-0.1220	above_baseline
2026-07-12T03:52:40Z	checkpoint-108	0.8304	80.6280	95.3780	50000	0.0300	-0.0540	-0.0960	-0.1320	above_baseline
2026-07-12T03:52:40Z	checkpoint-109	0.8347	80.6360	95.4140	50000	0.0380	-0.0460	-0.0880	-0.1240	above_baseline
2026-07-12T03:52:40Z	checkpoint-110	0.8328	80.6860	95.3360	50000	0.0880	0.0040	-0.0380	-0.0740	above_scheme_c
