timestamp	checkpoint	loss	acc1	acc5	samples	delta_vs_80.5980	delta_vs_scheme_c_80.6820	delta_vs_original10to60_80.7240	delta_vs_original10to110_80.7520	delta_vs_dynamic10to110_80.7600	delta_vs_kl100ep_80.7720	delta_vs_late10to210_80.8280	status
2026-07-15T03:28:46Z	checkpoint-19	0.8924	79.3160	94.9980	50000	-1.2820	-1.3660	-1.4080	-1.4360	-1.4440	-1.4560	-1.5120	below_baseline
2026-07-15T03:28:46Z	checkpoint-20	0.8964	79.3600	94.9120	50000	-1.2380	-1.3220	-1.3640	-1.3920	-1.4000	-1.4120	-1.4680	below_baseline
2026-07-15T03:28:46Z	checkpoint-21	0.8853	79.3320	94.9580	50000	-1.2660	-1.3500	-1.3920	-1.4200	-1.4280	-1.4400	-1.4960	below_baseline
2026-07-15T03:28:46Z	checkpoint-22	0.8882	79.5980	95.0800	50000	-1.0000	-1.0840	-1.1260	-1.1540	-1.1620	-1.1740	-1.2300	below_baseline
2026-07-15T03:28:46Z	checkpoint-23	0.8714	79.5480	95.0140	50000	-1.0500	-1.1340	-1.1760	-1.2040	-1.2120	-1.2240	-1.2800	below_baseline
2026-07-15T03:28:46Z	checkpoint-24	0.8824	79.6140	94.9840	50000	-0.9840	-1.0680	-1.1100	-1.1380	-1.1460	-1.1580	-1.2140	below_baseline
2026-07-15T03:28:46Z	checkpoint-25	0.8785	79.5540	95.0520	50000	-1.0440	-1.1280	-1.1700	-1.1980	-1.2060	-1.2180	-1.2740	below_baseline
2026-07-15T03:28:46Z	checkpoint-26	0.8805	79.5840	95.0760	50000	-1.0140	-1.0980	-1.1400	-1.1680	-1.1760	-1.1880	-1.2440	below_baseline
2026-07-15T03:28:46Z	checkpoint-27	0.8737	79.6100	95.0740	50000	-0.9880	-1.0720	-1.1140	-1.1420	-1.1500	-1.1620	-1.2180	below_baseline
2026-07-15T03:28:46Z	checkpoint-28	0.8712	79.6820	95.1060	50000	-0.9160	-1.0000	-1.0420	-1.0700	-1.0780	-1.0900	-1.1460	below_baseline
2026-07-15T03:28:46Z	checkpoint-29	0.8771	79.8120	95.1060	50000	-0.7860	-0.8700	-0.9120	-0.9400	-0.9480	-0.9600	-1.0160	below_baseline
2026-07-15T03:28:46Z	checkpoint-30	0.8680	79.7400	95.0860	50000	-0.8580	-0.9420	-0.9840	-1.0120	-1.0200	-1.0320	-1.0880	below_baseline
2026-07-15T03:28:46Z	checkpoint-31	0.8698	79.7980	95.0560	50000	-0.8000	-0.8840	-0.9260	-0.9540	-0.9620	-0.9740	-1.0300	below_baseline
2026-07-15T03:28:46Z	checkpoint-32	0.8763	79.7420	95.1080	50000	-0.8560	-0.9400	-0.9820	-1.0100	-1.0180	-1.0300	-1.0860	below_baseline
2026-07-15T03:28:46Z	checkpoint-33	0.8628	79.9140	95.0900	50000	-0.6840	-0.7680	-0.8100	-0.8380	-0.8460	-0.8580	-0.9140	below_baseline
2026-07-15T03:28:46Z	checkpoint-34	0.8657	79.8780	95.0960	50000	-0.7200	-0.8040	-0.8460	-0.8740	-0.8820	-0.8940	-0.9500	below_baseline
2026-07-15T03:28:46Z	checkpoint-35	0.8548	79.9420	95.1520	50000	-0.6560	-0.7400	-0.7820	-0.8100	-0.8180	-0.8300	-0.8860	below_baseline
2026-07-15T03:28:46Z	checkpoint-36	0.8652	79.9300	95.1580	50000	-0.6680	-0.7520	-0.7940	-0.8220	-0.8300	-0.8420	-0.8980	below_baseline
2026-07-15T03:28:46Z	checkpoint-37	0.8620	79.9640	95.2060	50000	-0.6340	-0.7180	-0.7600	-0.7880	-0.7960	-0.8080	-0.8640	below_baseline
2026-07-15T03:28:46Z	checkpoint-38	0.8580	80.0900	95.1500	50000	-0.5080	-0.5920	-0.6340	-0.6620	-0.6700	-0.6820	-0.7380	below_baseline
2026-07-15T03:28:46Z	checkpoint-39	0.8563	79.9640	95.2480	50000	-0.6340	-0.7180	-0.7600	-0.7880	-0.7960	-0.8080	-0.8640	below_baseline
2026-07-15T03:28:46Z	checkpoint-40	0.8573	79.9620	95.2240	50000	-0.6360	-0.7200	-0.7620	-0.7900	-0.7980	-0.8100	-0.8660	below_baseline
2026-07-15T03:28:46Z	checkpoint-41	0.8557	80.0840	95.2360	50000	-0.5140	-0.5980	-0.6400	-0.6680	-0.6760	-0.6880	-0.7440	below_baseline
2026-07-15T03:28:46Z	checkpoint-42	0.8633	80.0740	95.2280	50000	-0.5240	-0.6080	-0.6500	-0.6780	-0.6860	-0.6980	-0.7540	below_baseline
2026-07-15T03:28:46Z	checkpoint-43	0.8603	80.1000	95.1340	50000	-0.4980	-0.5820	-0.6240	-0.6520	-0.6600	-0.6720	-0.7280	below_baseline
2026-07-15T03:28:46Z	checkpoint-44	0.8522	80.0540	95.2660	50000	-0.5440	-0.6280	-0.6700	-0.6980	-0.7060	-0.7180	-0.7740	below_baseline
2026-07-15T03:28:46Z	checkpoint-45	0.8468	80.1800	95.2760	50000	-0.4180	-0.5020	-0.5440	-0.5720	-0.5800	-0.5920	-0.6480	below_baseline
2026-07-15T03:28:46Z	checkpoint-46	0.8595	80.1180	95.2260	50000	-0.4800	-0.5640	-0.6060	-0.6340	-0.6420	-0.6540	-0.7100	below_baseline
2026-07-15T03:28:46Z	checkpoint-47	0.8509	80.1800	95.3040	50000	-0.4180	-0.5020	-0.5440	-0.5720	-0.5800	-0.5920	-0.6480	below_baseline
2026-07-15T03:28:46Z	checkpoint-48	0.8608	80.1620	95.2260	50000	-0.4360	-0.5200	-0.5620	-0.5900	-0.5980	-0.6100	-0.6660	below_baseline
2026-07-15T03:28:46Z	checkpoint-49	0.8494	80.1400	95.2080	50000	-0.4580	-0.5420	-0.5840	-0.6120	-0.6200	-0.6320	-0.6880	below_baseline
2026-07-15T03:28:46Z	checkpoint-50	0.8478	80.1300	95.3160	50000	-0.4680	-0.5520	-0.5940	-0.6220	-0.6300	-0.6420	-0.6980	below_baseline
2026-07-15T03:28:46Z	checkpoint-51	0.8486	80.2140	95.3500	50000	-0.3840	-0.4680	-0.5100	-0.5380	-0.5460	-0.5580	-0.6140	below_baseline
2026-07-15T03:28:46Z	checkpoint-52	0.8501	80.3180	95.2800	50000	-0.2800	-0.3640	-0.4060	-0.4340	-0.4420	-0.4540	-0.5100	below_baseline
2026-07-15T03:28:46Z	checkpoint-53	0.8489	80.2280	95.3780	50000	-0.3700	-0.4540	-0.4960	-0.5240	-0.5320	-0.5440	-0.6000	below_baseline
2026-07-15T03:28:46Z	checkpoint-54	0.8477	80.2880	95.2980	50000	-0.3100	-0.3940	-0.4360	-0.4640	-0.4720	-0.4840	-0.5400	below_baseline
2026-07-15T03:28:46Z	checkpoint-55	0.8401	80.3180	95.3580	50000	-0.2800	-0.3640	-0.4060	-0.4340	-0.4420	-0.4540	-0.5100	below_baseline
2026-07-15T03:28:46Z	checkpoint-56	0.8458	80.3460	95.3520	50000	-0.2520	-0.3360	-0.3780	-0.4060	-0.4140	-0.4260	-0.4820	below_baseline
2026-07-15T03:28:46Z	checkpoint-57	0.8455	80.4240	95.3300	50000	-0.1740	-0.2580	-0.3000	-0.3280	-0.3360	-0.3480	-0.4040	below_baseline
2026-07-15T03:28:46Z	checkpoint-58	0.8462	80.3940	95.4120	50000	-0.2040	-0.2880	-0.3300	-0.3580	-0.3660	-0.3780	-0.4340	below_baseline
2026-07-15T03:28:46Z	checkpoint-59	0.8468	80.3540	95.2980	50000	-0.2440	-0.3280	-0.3700	-0.3980	-0.4060	-0.4180	-0.4740	below_baseline
2026-07-15T03:28:46Z	checkpoint-60	0.8376	80.5260	95.3500	50000	-0.0720	-0.1560	-0.1980	-0.2260	-0.2340	-0.2460	-0.3020	below_baseline
2026-07-15T03:28:46Z	checkpoint-61	0.8405	80.5080	95.3500	50000	-0.0900	-0.1740	-0.2160	-0.2440	-0.2520	-0.2640	-0.3200	below_baseline
2026-07-15T03:28:46Z	checkpoint-62	0.8404	80.3840	95.3500	50000	-0.2140	-0.2980	-0.3400	-0.3680	-0.3760	-0.3880	-0.4440	below_baseline
2026-07-15T03:28:46Z	checkpoint-63	0.8375	80.4260	95.3700	50000	-0.1720	-0.2560	-0.2980	-0.3260	-0.3340	-0.3460	-0.4020	below_baseline
2026-07-15T03:28:46Z	checkpoint-64	0.8402	80.4700	95.4200	50000	-0.1280	-0.2120	-0.2540	-0.2820	-0.2900	-0.3020	-0.3580	below_baseline
2026-07-15T03:28:46Z	checkpoint-65	0.8418	80.4600	95.3820	50000	-0.1380	-0.2220	-0.2640	-0.2920	-0.3000	-0.3120	-0.3680	below_baseline
2026-07-15T03:28:46Z	checkpoint-66	0.8386	80.4000	95.3640	50000	-0.1980	-0.2820	-0.3240	-0.3520	-0.3600	-0.3720	-0.4280	below_baseline
2026-07-15T03:28:46Z	checkpoint-67	0.8339	80.3800	95.4040	50000	-0.2180	-0.3020	-0.3440	-0.3720	-0.3800	-0.3920	-0.4480	below_baseline
2026-07-15T03:28:46Z	checkpoint-68	0.8357	80.4920	95.3920	50000	-0.1060	-0.1900	-0.2320	-0.2600	-0.2680	-0.2800	-0.3360	below_baseline
2026-07-15T03:28:46Z	checkpoint-69	0.8402	80.5640	95.3780	50000	-0.0340	-0.1180	-0.1600	-0.1880	-0.1960	-0.2080	-0.2640	below_baseline
2026-07-15T03:28:46Z	checkpoint-70	0.8319	80.4980	95.4500	50000	-0.1000	-0.1840	-0.2260	-0.2540	-0.2620	-0.2740	-0.3300	below_baseline
2026-07-15T03:28:46Z	checkpoint-71	0.8296	80.5920	95.3900	50000	-0.0060	-0.0900	-0.1320	-0.1600	-0.1680	-0.1800	-0.2360	below_baseline
2026-07-15T03:28:46Z	checkpoint-72	0.8293	80.5660	95.3840	50000	-0.0320	-0.1160	-0.1580	-0.1860	-0.1940	-0.2060	-0.2620	below_baseline
2026-07-15T03:28:46Z	checkpoint-73	0.8314	80.3520	95.3820	50000	-0.2460	-0.3300	-0.3720	-0.4000	-0.4080	-0.4200	-0.4760	below_baseline
2026-07-15T03:28:46Z	checkpoint-74	0.8293	80.4880	95.4520	50000	-0.1100	-0.1940	-0.2360	-0.2640	-0.2720	-0.2840	-0.3400	below_baseline
2026-07-15T03:28:46Z	checkpoint-75	0.8384	80.5020	95.4240	50000	-0.0960	-0.1800	-0.2220	-0.2500	-0.2580	-0.2700	-0.3260	below_baseline
2026-07-15T03:28:46Z	checkpoint-76	0.8333	80.4300	95.3160	50000	-0.1680	-0.2520	-0.2940	-0.3220	-0.3300	-0.3420	-0.3980	below_baseline
2026-07-15T03:28:46Z	checkpoint-77	0.8307	80.6360	95.4080	50000	0.0380	-0.0460	-0.0880	-0.1160	-0.1240	-0.1360	-0.1920	above_baseline
2026-07-15T03:28:46Z	checkpoint-78	0.8385	80.4980	95.4560	50000	-0.1000	-0.1840	-0.2260	-0.2540	-0.2620	-0.2740	-0.3300	below_baseline
2026-07-15T03:28:46Z	checkpoint-79	0.8303	80.4920	95.3860	50000	-0.1060	-0.1900	-0.2320	-0.2600	-0.2680	-0.2800	-0.3360	below_baseline
2026-07-15T03:28:46Z	checkpoint-80	0.8303	80.5840	95.4720	50000	-0.0140	-0.0980	-0.1400	-0.1680	-0.1760	-0.1880	-0.2440	below_baseline
2026-07-15T03:28:46Z	checkpoint-81	0.8284	80.6360	95.5100	50000	0.0380	-0.0460	-0.0880	-0.1160	-0.1240	-0.1360	-0.1920	above_baseline
2026-07-15T03:28:46Z	checkpoint-82	0.8276	80.7920	95.4100	50000	0.1940	0.1100	0.0680	0.0400	0.0320	0.0200	-0.0360	above_kl100ep_best
2026-07-15T03:28:46Z	checkpoint-83	0.8291	80.7180	95.4440	50000	0.1200	0.0360	-0.0060	-0.0340	-0.0420	-0.0540	-0.1100	above_scheme_c
2026-07-15T03:28:46Z	checkpoint-84	0.8299	80.6940	95.4620	50000	0.0960	0.0120	-0.0300	-0.0580	-0.0660	-0.0780	-0.1340	above_scheme_c
2026-07-15T03:28:46Z	checkpoint-85	0.8295	80.6900	95.4640	50000	0.0920	0.0080	-0.0340	-0.0620	-0.0700	-0.0820	-0.1380	above_scheme_c
2026-07-15T03:28:46Z	checkpoint-86	0.8267	80.6300	95.4440	50000	0.0320	-0.0520	-0.0940	-0.1220	-0.1300	-0.1420	-0.1980	above_baseline
2026-07-15T03:28:46Z	checkpoint-87	0.8282	80.5360	95.4600	50000	-0.0620	-0.1460	-0.1880	-0.2160	-0.2240	-0.2360	-0.2920	below_baseline
2026-07-15T03:28:46Z	checkpoint-88	0.8278	80.6580	95.5180	50000	0.0600	-0.0240	-0.0660	-0.0940	-0.1020	-0.1140	-0.1700	above_baseline
2026-07-15T03:28:46Z	checkpoint-89	0.8231	80.7080	95.4600	50000	0.1100	0.0260	-0.0160	-0.0440	-0.0520	-0.0640	-0.1200	above_scheme_c
2026-07-15T03:28:46Z	checkpoint-90	0.8302	80.6840	95.4500	50000	0.0860	0.0020	-0.0400	-0.0680	-0.0760	-0.0880	-0.1440	above_scheme_c
2026-07-15T03:28:46Z	checkpoint-91	0.8236	80.7320	95.4300	50000	0.1340	0.0500	0.0080	-0.0200	-0.0280	-0.0400	-0.0960	above_original10to60_best
2026-07-15T03:28:46Z	checkpoint-92	0.8226	80.6620	95.4300	50000	0.0640	-0.0200	-0.0620	-0.0900	-0.0980	-0.1100	-0.1660	above_baseline
2026-07-15T03:28:46Z	checkpoint-93	0.8282	80.6880	95.4140	50000	0.0900	0.0060	-0.0360	-0.0640	-0.0720	-0.0840	-0.1400	above_scheme_c
2026-07-15T03:28:46Z	checkpoint-94	0.8308	80.6680	95.4600	50000	0.0700	-0.0140	-0.0560	-0.0840	-0.0920	-0.1040	-0.1600	above_baseline
2026-07-15T03:28:46Z	checkpoint-95	0.8276	80.7400	95.4660	50000	0.1420	0.0580	0.0160	-0.0120	-0.0200	-0.0320	-0.0880	above_original10to60_best
2026-07-15T03:28:46Z	checkpoint-96	0.8276	80.7200	95.4600	50000	0.1220	0.0380	-0.0040	-0.0320	-0.0400	-0.0520	-0.1080	above_scheme_c
2026-07-15T03:28:46Z	checkpoint-97	0.8220	80.6720	95.4980	50000	0.0740	-0.0100	-0.0520	-0.0800	-0.0880	-0.1000	-0.1560	above_baseline
2026-07-15T03:28:46Z	checkpoint-98	0.8258	80.7760	95.4620	50000	0.1780	0.0940	0.0520	0.0240	0.0160	0.0040	-0.0520	above_kl100ep_best
2026-07-15T03:28:46Z	checkpoint-99	0.8250	80.7500	95.5380	50000	0.1520	0.0680	0.0260	-0.0020	-0.0100	-0.0220	-0.0780	above_original10to60_best
2026-07-15T03:28:46Z	checkpoint-100	0.8262	80.6780	95.4840	50000	0.0800	-0.0040	-0.0460	-0.0740	-0.0820	-0.0940	-0.1500	above_baseline
