timestamp	checkpoint	loss	acc1	acc5	samples	delta_vs_80.5980	delta_vs_scheme_c_80.6820	delta_vs_original_80.7240	status
2026-07-11T10:20:36Z	checkpoint-72	0.8339	80.5840	95.4000	50000	-0.0140	-0.0980	-0.1400	below_baseline
2026-07-11T10:20:36Z	checkpoint-73	0.8339	80.5000	95.3460	50000	-0.0980	-0.1820	-0.2240	below_baseline
2026-07-11T10:20:36Z	checkpoint-74	0.8355	80.5420	95.3240	50000	-0.0560	-0.1400	-0.1820	below_baseline
2026-07-11T10:20:36Z	checkpoint-75	0.8324	80.7120	95.3680	50000	0.1140	0.0300	-0.0120	above_scheme_c
2026-07-11T10:20:36Z	checkpoint-76	0.8344	80.4920	95.4100	50000	-0.1060	-0.1900	-0.2320	below_baseline
2026-07-11T10:20:36Z	checkpoint-77	0.8289	80.5920	95.3900	50000	-0.0060	-0.0900	-0.1320	below_baseline
2026-07-11T10:20:36Z	checkpoint-78	0.8324	80.5320	95.3880	50000	-0.0660	-0.1500	-0.1920	below_baseline
2026-07-11T10:20:36Z	checkpoint-79	0.8328	80.6320	95.3840	50000	0.0340	-0.0500	-0.0920	above_baseline
2026-07-11T10:20:36Z	checkpoint-80	0.8305	80.4960	95.4400	50000	-0.1020	-0.1860	-0.2280	below_baseline
2026-07-11T10:20:36Z	checkpoint-81	0.8311	80.6840	95.4080	50000	0.0860	0.0020	-0.0400	above_scheme_c
2026-07-11T10:20:36Z	checkpoint-82	0.8321	80.6700	95.3860	50000	0.0720	-0.0120	-0.0540	above_baseline
2026-07-11T10:20:36Z	checkpoint-83	0.8313	80.5840	95.3820	50000	-0.0140	-0.0980	-0.1400	below_baseline
2026-07-11T10:20:36Z	checkpoint-84	0.8332	80.5960	95.3800	50000	-0.0020	-0.0860	-0.1280	below_baseline
2026-07-11T10:20:36Z	checkpoint-85	0.8372	80.5520	95.3260	50000	-0.0460	-0.1300	-0.1720	below_baseline
2026-07-11T10:20:36Z	checkpoint-86	0.8348	80.6660	95.3420	50000	0.0680	-0.0160	-0.0580	above_baseline
2026-07-11T10:20:36Z	checkpoint-87	0.8336	80.5620	95.4480	50000	-0.0360	-0.1200	-0.1620	below_baseline
2026-07-11T10:20:36Z	checkpoint-88	0.8373	80.5760	95.4020	50000	-0.0220	-0.1060	-0.1480	below_baseline
2026-07-11T10:20:36Z	checkpoint-89	0.8284	80.6100	95.4080	50000	0.0120	-0.0720	-0.1140	above_baseline
2026-07-11T10:20:36Z	checkpoint-90	0.8324	80.6420	95.4500	50000	0.0440	-0.0400	-0.0820	above_baseline
2026-07-11T10:20:36Z	checkpoint-91	0.8301	80.6460	95.3900	50000	0.0480	-0.0360	-0.0780	above_baseline
2026-07-11T10:20:36Z	checkpoint-92	0.8292	80.5700	95.3880	50000	-0.0280	-0.1120	-0.1540	below_baseline
2026-07-11T10:20:36Z	checkpoint-93	0.8294	80.6860	95.3840	50000	0.0880	0.0040	-0.0380	above_scheme_c
2026-07-11T10:20:36Z	checkpoint-94	0.8337	80.6920	95.4160	50000	0.0940	0.0100	-0.0320	above_scheme_c
2026-07-11T10:20:36Z	checkpoint-95	0.8336	80.5660	95.3780	50000	-0.0320	-0.1160	-0.1580	below_baseline
2026-07-11T10:20:36Z	checkpoint-96	0.8287	80.6260	95.4680	50000	0.0280	-0.0560	-0.0980	above_baseline
2026-07-11T10:20:36Z	checkpoint-97	0.8347	80.7060	95.4600	50000	0.1080	0.0240	-0.0180	above_scheme_c
2026-07-11T10:20:36Z	checkpoint-98	0.8344	80.5560	95.4080	50000	-0.0420	-0.1260	-0.1680	below_baseline
2026-07-11T10:20:36Z	checkpoint-99	0.8293	80.6400	95.4060	50000	0.0420	-0.0420	-0.0840	above_baseline
2026-07-11T10:20:36Z	checkpoint-100	0.8324	80.7600	95.4020	50000	0.1620	0.0780	0.0360	above_original_best
2026-07-11T10:20:36Z	checkpoint-101	0.8276	80.5780	95.3980	50000	-0.0200	-0.1040	-0.1460	below_baseline
2026-07-11T10:20:36Z	checkpoint-102	0.8324	80.6820	95.4100	50000	0.0840	0.0000	-0.0420	above_baseline
2026-07-11T10:20:36Z	checkpoint-103	0.8307	80.5960	95.3200	50000	-0.0020	-0.0860	-0.1280	below_baseline
2026-07-11T10:20:36Z	checkpoint-104	0.8372	80.6440	95.3720	50000	0.0460	-0.0380	-0.0800	above_baseline
2026-07-11T10:20:36Z	checkpoint-105	0.8300	80.5740	95.4260	50000	-0.0240	-0.1080	-0.1500	below_baseline
2026-07-11T10:20:36Z	checkpoint-106	0.8325	80.6240	95.4060	50000	0.0260	-0.0580	-0.1000	above_baseline
2026-07-11T10:20:36Z	checkpoint-107	0.8283	80.6340	95.3800	50000	0.0360	-0.0480	-0.0900	above_baseline
2026-07-11T10:20:36Z	checkpoint-108	0.8322	80.7240	95.4440	50000	0.1260	0.0420	0.0000	above_scheme_c
2026-07-11T10:20:36Z	checkpoint-109	0.8311	80.6000	95.3860	50000	0.0020	-0.0820	-0.1240	above_baseline
2026-07-11T10:20:36Z	checkpoint-110	0.8330	80.6600	95.3600	50000	0.0620	-0.0220	-0.0640	above_baseline
