run	ckpt_a	ckpt_b	acc_a	acc_b	acc_delta	global_block	stage	block	head	js_divergence	cosine_distance	topk_overlap_change	entropy_a	entropy_b	entropy_delta	oscillation_score
original	48	49	80.598	80.514	-0.08400000000000318	3	1	1	5	0.0003888004077944512	0.0006838351536669895	0.05102040816326531	3.2812988832325365	3.2797345638617803	0.0015643193707561842	0.052249475661802366
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	0	0.0005777401737548039	0.0005363478180598902	0.0	2.6072770251633077	2.6111138365196225	0.003836811356314751	0.0014977691274461692
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	1	0.0006497611942638808	0.0009783773543138308	0.04081632653061224	3.415617865559081	3.418973594344428	0.0033557287853471784	0.04278003795772467
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	2	0.001574242938889108	0.0042557829006935055	0.1326530612244898	3.6038844368387934	3.604705749345337	0.0008213125065434923	0.13856521831472676
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	3	0.001984336402408782	0.005487249615106937	0.19387755102040816	3.664393696793066	3.666775742064356	0.0023820452712901563	0.2015873415650529
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	4	0.0009558995439220632	0.0028880519351831557	0.1836734693877551	3.7696309414182894	3.7682953310630594	0.0013356103552299992	0.18765098190238333
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	5	0.0008033767571423405	0.00021048317272531758	0.02040816326530612	2.11755677837691	2.1153450981649935	0.0022116802119165335	0.02164319121636543
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	6	0.0010430333399516667	0.00031806954826996137	0.030612244897959183	2.253673208246733	2.260556914506054	0.0068837062593209986	0.03266171841211291
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	7	0.0008742144946749146	0.0030702503557223926	0.2653061224489796	3.818240776830057	3.81940677799036	0.0011660011603029652	0.2693671874154072
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	8	0.0010562595416441852	0.0037794099602603826	0.27040816326530615	3.8335835619841525	3.8357426513788693	0.002159089394716762	0.27545974170668236
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	9	0.00039783012160558243	0.0009554313322370778	0.08163265306122448	3.3706987608803574	3.372920237639414	0.0022214767590567064	0.08320806219097282
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	10	0.0008797441988052377	0.0002357966811181722	0.04591836734693878	2.0961722794205	2.0895484846618895	0.006623794758610746	0.047696287702723265
original	48	49	80.598	80.514	-0.08400000000000318	4	2	0	11	0.000586433015911301	0.00015030401954241324	0.030612244897959183	1.9325121647243249	1.9316362312120439	0.0008759335122809908	0.031436575284641
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	0	0.00230954454144045	0.003330492239819405	0.03571428571428571	3.1785986052222652	3.1793095215390736	0.0007109163168084187	0.04142541412722641
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	1	0.0013691198272019543	0.003136535422485598	0.1377551020408163	3.544401611281043	3.5418045283608883	0.002597082920154481	0.1425204655825193
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	2	0.0009345352099007795	0.0019062607577665647	0.08163265306122448	3.377768883689621	3.381439831086207	0.0036709473965856887	0.0848405437685504
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	3	0.0012925509680336285	0.0008105157192175305	0.030612244897959183	2.511566211483283	2.507586235839872	0.003979975643411127	0.033113309149551455
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	4	0.001491134945051459	0.0009342526469799939	0.015306122448979591	2.509612987668501	2.5098640159872234	0.0002510283187224793	0.01775661287288329
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	5	0.0009443072676154927	0.000339461552049114	0.03571428571428571	2.148639329828149	2.1425453288983927	0.006094000929756316	0.03760745462692595
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	6	0.001535680923371213	0.0022072846800090806	0.07653061224489796	3.168812032806773	3.162006754234876	0.006805278571896611	0.08095410570546792
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	7	0.0004885879394853581	0.00026035497384013784	0.025510204081632654	2.107097365298739	2.1030673262946395	0.004030039004099262	0.026662150895368077
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	8	0.0006598681105068134	0.00026663910781721256	0.025510204081632654	2.160611471110198	2.159277693421396	0.0013337776888016073	0.02657008906883684
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	9	0.002873911702644485	0.006761708527666888	0.1683673469387755	3.5115870676869148	3.509636665500845	0.0019504021860696774	0.17819800738769384
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	10	0.0029545820705423184	0.0035721419373515584	0.07142857142857142	3.0508743964033966	3.0483427603796147	0.0025316360237819246	0.07820845903884349
original	48	49	80.598	80.514	-0.08400000000000318	5	2	1	11	0.002679884274166368	0.0031603301978970766	0.08673469387755102	2.9543961190662085	2.9562341248640767	0.0018380057978681918	0.09275870892940127
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	0	0.0015298925687143728	0.004658766530041825	0.1326530612244898	3.7418841794614606	3.739718703304534	0.002165476156926527	0.13905826793893866
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	1	0.0011467759112560047	0.0032945704300846312	0.25510204081632654	3.7079927730871103	3.7117558854942687	0.003763112407158431	0.259919698398383
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	2	0.0028900875661661803	0.00874757348755173	0.23979591836734693	3.691793611547045	3.691413433465512	0.00038017808153290034	0.2514715972292181
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	3	0.0008365339667014947	0.002104496310346926	0.14795918367346939	3.595241389935738	3.5952850567359365	4.36668001984053e-05	0.15090458063053766
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	4	0.0033215061393147196	0.00877405053689917	0.1989795918367347	3.5946799291251605	3.5936089747144684	0.0010709544106921598	0.2111822439540178
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	5	0.00040012744300435755	0.0006322164813452602	0.030612244897959183	2.61380262656945	2.6146912504707736	0.0008886239013237152	0.03173345121244117
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	6	0.0008848188732670356	0.003133697258614565	0.3010204081632653	3.815812947718703	3.81616770449482	0.0003547567761170711	0.3050743999727586
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	7	0.0016758241387074906	0.0019722117477939394	0.04081632653061224	3.0051725812143864	3.0056755274010722	0.0005029461866858931	0.04451465703578226
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	8	0.0022587976493369543	0.004623119245149132	0.11224489795918367	3.422489953940396	3.4197384165071623	0.002751537433233864	0.11940196859699315
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	9	0.00172047492796265	0.0013432467034137918	0.025510204081632654	2.651712069801727	2.6488648685548832	0.002847201246843678	0.028858645837693465
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	10	0.001886595870930537	0.001870973714240165	0.04081632653061224	2.815241243586775	2.8219477823468897	0.006706538760114622	0.045244549991794406
original	48	49	80.598	80.514	-0.08400000000000318	6	2	2	11	0.001405899950265709	0.004484723036765725	0.24489795918367346	3.7329693336644367	3.7367111635768153	0.0037418299123785914	0.25116276516194275
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	0	0.0020662290243645197	0.0019900506695451625	0.0663265306122449	2.6939637387354853	2.6900917963259263	0.003871942409559015	0.0707700045471105
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	1	0.003708377468848273	0.001260363587390123	0.05612244897959184	2.427759098971311	2.4523110636986516	0.024551964727340447	0.06354638650856427
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	2	0.002436006141190142	0.002059756511740951	0.025510204081632654	2.655022662144286	2.6489708634727753	0.006051798671510511	0.030611146601714795
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	3	0.000961629925435915	0.002487633356884178	0.04591836734693878	3.6068764917978253	3.6035170717117166	0.0033594200861086776	0.04970357263786974
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	4	0.0025511810226535483	0.0065369327706225056	0.11224489795918367	3.581020955946625	3.579925160900971	0.0010957950456540466	0.12144259125702513
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	5	0.0016837747787049303	0.0011233833795155634	0.02040816326530612	2.213948914571984	2.210405571182723	0.0035433433892611	0.023569655762452724
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	6	0.003388454633641679	0.008016461060117663	0.19387755102040816	3.4568803338015672	3.4583890154921506	0.00150868169058338	0.20543333488322585
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	7	0.002186207354082831	0.004270388642259815	0.07142857142857142	3.363322099118175	3.3593019093298175	0.004020189788357609	0.07828718640374983
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	8	0.0017924849492214332	0.002947669113254281	0.04591836734693878	3.100424914715745	3.0993567603471455	0.0010681543685997497	0.05076533684627447
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	9	0.0033481724245129395	0.006876047217214798	0.09183673469387756	3.3894994257689386	3.3850908360534113	0.004408589715527267	0.10250181330715802
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	10	0.0012729209782974807	0.0010579668885060123	0.05612244897959184	2.055683189759805	2.0497675508542175	0.005915638905587439	0.05904490073695407
original	48	49	80.598	80.514	-0.08400000000000318	7	2	3	11	0.0035789942417691024	0.009967990205668187	0.18877551020408162	3.6221031355961224	3.62311338197991	0.0010102463837875497	0.20242351928989766
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	0	0.004080659455943316	0.010276788532485148	0.20408163265306123	3.5597862691402464	3.5575869354102925	0.002199333729953956	0.2186590140144851
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	1	0.003095843213157469	0.008412498890256415	0.15816326530612246	3.616980570240509	3.608933683499775	0.00804688674073395	0.17047629608360976
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	2	0.003596623557084719	0.0113483290729961	0.25510204081632654	3.751730695650263	3.7513692194984554	0.00036147615180759374	0.27008314106158815
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	3	0.003780785489143459	0.010969587858595475	0.23979591836734693	3.6825952076418837	3.681495008993878	0.0011001986480057013	0.25465631157988644
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	4	0.0006421771311037651	0.002302303309500875	0.16326530612244897	3.6872263201568343	3.686810925031834	0.00041539512500010645	0.16625132607555362
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	5	0.0035178362452338756	0.006376524333365996	0.09183673469387756	3.388266346327782	3.3797546715428823	0.008511674784899448	0.10258226275096737
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	6	0.002409059226934707	0.007530446626138998	0.19387755102040816	3.7106360160920704	3.710227841212122	0.00040817487994848634	0.2038578743614767
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	7	0.002944105872702386	0.008941333518903472	0.19387755102040816	3.6610382192266973	3.6600213551054677	0.0010168641212295881	0.20586467682413698
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	8	0.001397936752243646	0.0029927448574811333	0.09183673469387756	3.532667333993461	3.532807598896261	0.000140264902800169	0.09624144279388235
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	9	0.0015567623041196398	0.00445242947220803	0.3520408163265306	3.6273803506306197	3.6255176001057525	0.0018627505248671739	0.358236283155345
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	10	0.0023937807818661195	0.005703271240615981	0.1377551020408163	3.5466785221396777	3.550206401980213	0.003527879840535153	0.14620494204735193
original	48	49	80.598	80.514	-0.08400000000000318	8	2	4	11	0.0038138466146044507	0.009091843795090093	0.1683673469387755	3.575007531520466	3.5717870965746124	0.0032204349458537784	0.18159508084305542
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	0	0.004625559573550684	0.008898763257046194	0.19387755102040816	3.214241879707854	3.2096173183195478	0.0046245613883062475	0.20786432998983564
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	1	0.0037805584907141853	0.0066616227994305	0.14795918367346939	3.202079288351116	3.1942594314381507	0.007819856912965495	0.15918335065491063
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	2	0.004016276521294137	0.0024993476781938195	0.11734693877551021	2.8702151965679024	2.88378719289553	0.013571996327627733	0.12521976260776094
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	3	0.00433579229986536	0.009560206377745795	0.22448979591836735	3.398754045685104	3.391063797955188	0.007690247729915889	0.2391548193689701
original	48	49	80.598	80.514	-0.08400000000000318	9	2	5	4	0.0024546136919696027	0.0033224294755501704	0.07142857142857142	3.038654359912903	3.0399942500152553	0.00133989010235247	0.07733960360632644
