name	kind	stage	module	numel	attn_rel	full_rel	extra_rel	extra_over_full	full_minus_attn_rel	cos_attn_full	extra_l2	attn_l2	full_l2	base_l2	max_abs_extra
features.5.5.attn.quant_x_4_qkv.move_aft.bias	act_quant	features.5.5	features.5.5.attn.quant_x_4_qkv	384	0.009451694070437725	0.00594537952891993	0.005342398424491173	0.8985798801412601	-0.0035063145415177954	0.855438359687646	0.002401534002274275	0.004248759243637323	0.0026725882198661566	0.44952356815338135	0.00033549219369888306
features.5.5.attn.quant_x_4_qkv.move_b4.bias	act_quant	features.5.5	features.5.5.attn.quant_x_4_qkv	384	0.008988977468202175	0.005644374295246441	0.005084100243117895	0.900737615398682	-0.003344603172955735	0.8555131134397362	0.0024014862719923258	0.004245963878929615	0.002666132990270853	0.4723522663116455	0.00033256784081459045
features.7.1.attn.quan_a_softmax_fn.s	softmax_quant	features.7.1	features.7.1.attn.quan_a_softmax_fn	49	0.0052486374861014816	0.005031336313283964	0.005031518177164463	1.0000361462381313	-0.00021730117281751815	0.5215600665908813	0.0013656159862875938	0.0014245448401197791	0.0013655666261911392	0.27141231298446655	0.00047999992966651917
features.5.5.mlp.fc1.move_aft.bias	move_shift	features.5.5	features.5.5.mlp.fc1.move_aft	384	0.0	0.004124307627171239	0.004124307627171239	1.0	0.004124307627171239	0.0	0.0032599037513136864	0.0	0.0032599037513136864	0.7904123663902283	0.0005801673978567123
features.5.5.attn.move_qkx_aft.bias	move_shift	features.5.5	features.5.5.attn.move_qkx_aft	4608	0.002407720409619583	0.002376093229111426	0.0033385328464629574	1.405051285681854	-3.1627180508156464e-05	0.025968778662790046	0.01157987117767334	0.008351300843060017	0.00824160035699606	3.46855092048645	0.0007325652986764908
features.7.1.mlp.fc2.move_b4.bias	move_shift	features.7.1	features.7.1.mlp.fc2.move_b4	3072	0.0	0.003282518840349597	0.003282518840349597	1.0	0.003282518840349597	0.0	0.006776111666113138	0.0	0.006776111666113138	2.064302444458008	0.000575874000787735
features.7.1.attn.move_qkx_aft.bias	move_shift	features.7.1	features.7.1.attn.move_qkx_aft	18432	0.0023093390015925122	0.002303107634046388	0.003219479057151644	1.3978847577762834	-6.2313675461244494e-06	0.02559930959809395	0.016098646447062492	0.011547592468559742	0.011516433209180832	5.0003886222839355	0.0007544234395027161
features.5.5.mlp.fc1.move_b4.bias	move_shift	features.5.5	features.5.5.mlp.fc1.move_b4	384	0.0	0.002752345996943777	0.002752345996943777	1.0	0.002752345996943777	0.0	0.0033496280666440725	0.0	0.0033496280666440725	1.217008352279663	0.0005810782313346863
features.5.5.mlp.fc2.move_aft.bias	move_shift	features.5.5	features.5.5.mlp.fc2.move_aft	1536	0.0	0.0026551164628252568	0.0026551164628252568	1.0	0.0026551164628252568	0.0	0.0039743646048009396	0.0	0.0039743646048009396	1.4968701601028442	0.00040224380791187286
features.7.1.mlp.fc1.move_aft.bias	move_shift	features.7.1	features.7.1.mlp.fc1.move_aft	768	0.0	0.002336650432805089	0.002336650432805089	1.0	0.002336650432805089	0.0	0.0031223122496157885	0.0	0.0031223122496157885	1.336234211921692	0.00035066792042925954
features.7.1.mlp.fc1.move_b4.bias	move_shift	features.7.1	features.7.1.mlp.fc1.move_b4	768	0.0	0.002207004494791226	0.002207004494791226	1.0	0.002207004494791226	0.0	0.0030397202353924513	0.0	0.0030397202353924513	1.3773058652877808	0.0003517697914503515
features.7.1.mlp.fc1.weight	mlp	features.7.1	features.7.1.mlp.fc1	2359296	0.0	0.0019340742875284653	0.0019340742875284653	1.0	0.0019340742875284653	0.0	0.16159144043922424	0.0	0.16159144043922424	83.54975891113281	0.0005418509244918823
features.5.5.mlp.fc1.weight	mlp	features.5.5	features.5.5.mlp.fc1	589824	0.0	0.001833964017911462	0.001833964017911462	1.0	0.001833964017911462	0.0	0.0834864154458046	0.0	0.0834864154458046	45.52238464355469	0.0005391985177993774
features.7.1.attn.move_qkx_b4.bias	move_shift	features.7.1	features.7.1.attn.move_qkx_b4	18432	0.0024048626458825044	0.002359292093216884	0.0017137672029200412	0.7263904320483384	-4.557055266562056e-05	0.7413606548856625	0.020164666697382927	0.02829628996551037	0.02776009403169155	11.766281127929688	0.0007510855793952942
features.5.5.attn.quan_a_softmax_fn.s	softmax_quant	features.5.5	features.5.5.attn.quan_a_softmax_fn	49	0.0033665196700575755	0.0032912725347976953	0.0015627349859505637	0.47481178462986817	-7.524713525988029e-05	0.8900518825329935	0.0005637729773297906	0.001214507152326405	0.001187360961921513	0.3607604503631592	0.0001808367669582367
features.7.1.mlp.fc2.weight	mlp	features.7.1	features.7.1.mlp.fc2	2359296	0.0	0.0015132698870331605	0.0015132698870331605	1.0	0.0015132698870331605	0.0	0.1517675817012787	0.0	0.1517675817012787	100.29115295410156	0.0007472038269042969
features.7.1.mlp.fc2.move_aft.bias	move_shift	features.7.1	features.7.1.mlp.fc2.move_aft	3072	0.0	0.0015024545974740423	0.0015024545974740423	1.0	0.0015024545974740423	0.0	0.004033864475786686	0.0	0.004033864475786686	2.684849500656128	0.0003043860197067261
features.5.5.mlp.fc2.move_b4.bias	move_shift	features.5.5	features.5.5.mlp.fc2.move_b4	1536	0.0	0.001411555809785241	0.001411555809785241	1.0	0.001411555809785241	0.0	0.004997242707759142	0.0	0.004997242707759142	3.5402374267578125	0.0005209818482398987
features.5.5.mlp.fc2.weight	mlp	features.5.5	features.5.5.mlp.fc2	589824	0.0	0.001325004607696331	0.001325004607696331	1.0	0.001325004607696331	0.0	0.08035284280776978	0.0	0.08035284280776978	60.6434440612793	0.0017462968826293945
features.7.1.attn.proj.weight	attn_proj	features.7.1	features.7.1.attn.proj	589824	0.0022854835763724845	0.0019280774509067514	0.0012177081444907153	0.6315659902137447	-0.00035740612546573323	0.8462530087116695	0.04845332354307175	0.09094073623418808	0.07671933621168137	39.79058837890625	0.00042560696601867676
features.7.1.attn.v.weight	attn_qkv	features.7.1	features.7.1.attn.v	589824	0.0023593352360924253	0.0020411827765240325	0.0011812867967930752	0.5787266139903013	-0.0003181524595683931	0.8656367272472005	0.044648345559835434	0.0891742929816246	0.07714928686618805	37.796363830566406	0.0003510117530822754
features.5.5.attn.move_qkx_b4.bias	move_shift	features.5.5	features.5.5.attn.move_qkx_b4	4608	0.0024736923560765775	0.0024675763405846937	0.0009624665783167861	0.3900453098398281	-6.116015491883866e-06	0.9241234315600203	0.006092670373618603	0.015659132972359657	0.015620416961610317	6.330266952514648	0.0003836303949356079
features.7.1.attn.k.weight	attn_qkv	features.7.1	features.7.1.attn.k	589824	0.0019550762162410086	0.0018501114876489462	0.0009362440550863629	0.5060473713809039	-0.00010496472859206226	0.8803621619125029	0.042224105447530746	0.08817289024591446	0.08343903720378876	45.099464416503906	0.00029115541838109493
