key	params	numel	extra_rel	attn_rel	full_rel	extra_over_full	max_extra_rel	max_abs_extra
features.7.1.attn.q|attn_qkv	1	589824	0.0008984793244226306	0.00196285135405115	0.0018648127398261985	0.48180672795401924	0.0008984793244226306	0.00026191025972366333
features.5.5.attn.proj|attn_proj	2	147840	0.0008716078711098261	0.0022227982658556446	0.0020267830221560395	0.4300449833957224	0.0008940218984074108	0.00021560065215453506
features.5.5.attn.v|attn_qkv	2	147840	0.0008551583599113968	0.0022891985867690952	0.0020990745541525544	0.407397802150312	0.0008573954538377362	0.00021231360733509064
features.5.5.mlp.fc2.input_quant_fn|act_quant	1	14	0.0008461966875089519	0.0	0.0008461966875089519	1.0	0.0008461966875089519	0.0010471343994140625
features.7.1.attn.proj.input_quant_fn|act_quant	1	49	0.0008160612464832244	0.0008741782863925577	0.0008975862161286091	0.9091731042873954	0.0008160612464832244	0.0003905743360519409
features.7.1.attn.quant_x_4_qkv.input_quant_fn|act_quant	1	49	0.000732130658751615	0.0010975674932326572	0.001061998311602759	0.6893896635736543	0.000732130658751615	0.0003545433282852173
features.7.1.attn.quan_a_qkx_fn|act_quant	1	1176	0.0007237262821092522	0.0010560264795855152	0.0010369826395168996	0.6979155238764803	0.0007237262821092522	0.0003417283296585083
features.5.5.attn.k|attn_qkv	1	147456	0.0006613333554878401	0.0019065154644303597	0.0018559248582245213	0.3563362776015121	0.0006613333554878401	0.000194525346159935
features.5.5.attn.q|attn_qkv	1	147456	0.0006464411825988489	0.0018575521264849195	0.0018134353952950395	0.3564732354271023	0.0006464411825988489	0.00018492713570594788
features.7.1.attn.quan_a_v_fn|act_quant	1	768	0.0005142452633270012	0.0007793293487674905	0.0007272815683738706	0.7070786414631717	0.0005142452633270012	0.0004921853542327881
features.5.5.attn.proj.input_quant_fn|act_quant	1	49	0.0004413808745337836	0.0006499236797350168	0.0005501625980529582	0.8022735025896774	0.0004413808745337836	0.0002706944942474365
features.5.5.attn.quan_a_qkx_fn|act_quant	1	588	0.00038580157940076826	0.0011664461904234127	0.0011509598749538338	0.33519985170312144	0.00038580157940076826	0.00017608702182769775
