group_type	key	params	numel	phase2w_delta_l2	cmp_label	cmp_delta_l2	cmp_over_phase2w	delta_cosine_to_phase2w	extra_l2_vs_phase2w	extra_over_phase2w	phase2w_top1	cmp_top1	delta_top1
stage_kind	features.7.1|proj_move_shift	2	1536	0.008722046490201129	nofeat	0.008708390741109372	0.9984343411712953	0.9753284425896497	0.0019359844657069315	0.22196447449367906	80.54	80.464	-0.07600000000000762
stage_kind	features.5.5|attn_qkv	4	442752	0.3029772457996554	nofeat	0.30251448375899975	0.9984726178382332	0.976566522129673	0.06554244580554658	0.2163279477723113	80.54	80.464	-0.07600000000000762
stage_kind	features.5.5|attn_proj	2	147840	0.16591402957119084	nofeat	0.16610542386145463	1.0011535750819776	0.980098688904951	0.03312047497525941	0.19962431785220425	80.54	80.464	-0.07600000000000762
stage_kind	features.5.5|norm	4	1536	0.017683183062256896	nofeat	0.01762476274936708	0.9966962784537073	0.9837403392318838	0.0031840919421571856	0.18006327995061774	80.54	80.464	-0.07600000000000762
stage_kind	features.5.5|proj_move_shift	2	768	0.015458187923470193	nofeat	0.015471455583970102	1.0008582933889532	0.9941483434550086	0.0016730604490958819	0.10823134363347152	80.54	80.464	-0.07600000000000762
stage_kind	features.5.5|move_v_shift	2	768	0.015577125828404138	nofeat	0.015592689513740193	1.0009991371648084	0.9944171156459959	0.0016469071187246314	0.10572599443997402	80.54	80.464	-0.07600000000000762
stage_kind	features.0.0|other	2	4704	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.0.0|act_quant	2	4	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.0.0|weight_quant	1	96	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.0.0|move_shift	2	100352	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.0.2|other	2	192	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|norm	4	384	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|relpos	1	507	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|other	2	192	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|attn_proj	2	9312	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|act_quant	8	645	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|weight_quant	5	5	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|proj_move_shift	2	192	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|attn_qkv	4	27744	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|move_shift	6	1536	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|move_v_shift	2	192	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|softmax_quant	1	49	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.0|mlp	4	74208	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|norm	4	384	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|relpos	1	507	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|other	2	192	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|attn_proj	2	9312	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|act_quant	8	645	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|weight_quant	5	5	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|proj_move_shift	2	192	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|attn_qkv	4	27744	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|move_shift	6	1536	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|move_v_shift	2	192	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|softmax_quant	1	49	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.1.1|mlp	4	74208	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.2|other	2	73920	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.2|act_quant	1	28	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.2|weight_quant	1	1	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.2|move_shift	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.2|norm	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|norm	4	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|relpos	1	1014	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|other	2	384	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|attn_proj	2	37056	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|act_quant	8	1024	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|weight_quant	5	5	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|proj_move_shift	2	384	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|attn_qkv	4	110784	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|move_shift	6	4224	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|move_v_shift	2	384	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|softmax_quant	1	49	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.0|mlp	4	295872	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|norm	4	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|relpos	1	1014	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|other	2	384	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|attn_proj	2	37056	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|act_quant	8	1024	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|weight_quant	5	5	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|proj_move_shift	2	384	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|attn_qkv	4	110784	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|move_shift	6	4224	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|move_v_shift	2	384	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|softmax_quant	1	49	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.3.1|mlp	4	295872	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.4|other	2	295296	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.4|act_quant	1	14	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.4|weight_quant	1	1	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.4|move_shift	2	1536	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.4|norm	2	1536	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|norm	4	1536	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|relpos	1	2028	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|other	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|attn_proj	2	147840	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|act_quant	8	1866	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|weight_quant	5	5	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|proj_move_shift	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|attn_qkv	4	442752	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|move_shift	6	13056	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|move_v_shift	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|softmax_quant	1	49	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.0|mlp	4	1181568	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|norm	4	1536	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|relpos	1	2028	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|other	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|attn_proj	2	147840	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|act_quant	8	1866	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|weight_quant	5	5	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|proj_move_shift	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|attn_qkv	4	442752	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|move_shift	6	13056	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|move_v_shift	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|softmax_quant	1	49	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.1|mlp	4	1181568	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|norm	4	1536	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|relpos	1	2028	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|other	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|attn_proj	2	147840	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|act_quant	8	1866	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|weight_quant	5	5	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|proj_move_shift	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|attn_qkv	4	442752	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|move_shift	6	13056	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|move_v_shift	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|softmax_quant	1	49	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.2|mlp	4	1181568	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.3|norm	4	1536	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.3|relpos	1	2028	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.3|other	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.3|attn_proj	2	147840	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.3|act_quant	8	1866	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.3|weight_quant	5	5	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.3|proj_move_shift	2	768	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
stage_kind	features.5.3|attn_qkv	4	442752	0.0	nofeat	0.0	0.0	0.0	0.0	0.0	80.54	80.464	-0.07600000000000762
