pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
phase2fw_vs_fx100wm	635	50	35	35	0	70.0	70.0	0.0022213237825781107	0.012307977303862572
phase2fw_vs_fx100wm	648	50	32	32	0	64.0	64.0	0.0022216697689145803	0.040586721152067184
phase2fw_vs_fx100wm	470	50	35	35	0	70.0	70.0	0.002238048240542412	-0.0017679977463558316
phase2fw_vs_fx100wm	574	50	47	47	0	94.0	94.0	0.002284264424815774	0.013782663270831108
phase2fw_vs_fx100wm	878	50	41	41	0	82.0	82.0	0.002313576638698578	-0.006874990649521351
phase2fw_vs_fx100wm	73	50	27	27	0	54.0	54.0	0.00232023186981678	0.006686363369226456
phase2fw_vs_fx100wm	584	50	26	26	0	52.0	52.0	0.002343002939596772	0.009093303233385086
phase2fw_vs_fx100wm	598	50	35	35	0	70.0	70.0	0.0023446795530617237	0.03166348487138748
phase2fw_vs_fx100wm	727	50	45	45	0	90.0	90.0	0.002442957367748022	0.03234374150633812
phase2fw_vs_fx100wm	952	50	45	45	0	90.0	90.0	0.002462155884131789	0.024317197501659393
phase2fw_vs_fx100wm	932	50	41	41	0	82.0	82.0	0.0025321280118077993	0.02432604879140854
phase2fw_vs_fx100wm	561	50	46	46	0	92.0	92.0	0.002567411633208394	-0.011568928137421608
phase2fw_vs_fx100wm	45	50	41	41	0	82.0	82.0	0.002575199818238616	0.007357311435043812
phase2fw_vs_fx100wm	443	50	39	39	0	78.0	78.0	0.0025785905309021473	0.0075703333131968975
phase2fw_vs_fx100wm	599	50	40	40	0	80.0	80.0	0.0025937410537153482	0.0033363245893269777
phase2fw_vs_fx100wm	273	50	40	40	0	80.0	80.0	0.002630177652463317	0.0078125
phase2fw_vs_fx100wm	451	50	43	43	0	86.0	86.0	0.002632495714351535	0.009421281516551971
phase2fw_vs_fx100wm	580	50	45	45	0	90.0	90.0	0.0026363092474639416	0.01494678482413292
phase2fw_vs_fx100wm	636	50	31	31	0	62.0	62.0	0.0026495219208300114	-0.012535352259874344
phase2fw_vs_fx100wm	169	50	49	49	0	98.0	98.0	0.0026645201724022627	-0.004062499850988388
phase2fw_vs_fx100wm	745	50	36	36	0	72.0	72.0	0.0026733598206192255	0.05340307205915451
phase2fw_vs_fx100wm	947	50	21	21	0	42.0	42.0	0.002673366107046604	0.02017725072801113
phase2fw_vs_fx100wm	623	50	19	19	0	38.0	38.0	0.0026753470301628113	0.03951979801058769
phase2fw_vs_fx100wm	780	50	40	40	0	80.0	80.0	0.0027002436108887196	0.0006249904399737716
phase2fw_vs_fx100wm	66	50	27	27	0	54.0	54.0	0.0027139100711792707	-0.007143831346184015
phase2fw_vs_fx100wm	245	50	46	46	0	92.0	92.0	0.0027351202443242073	0.010013389401137829
phase2fw_vs_fx100wm	819	50	40	40	0	80.0	80.0	0.0027436797972768545	0.032412756234407425
phase2fw_vs_fx100wm	281	50	37	37	0	74.0	74.0	0.002756960690021515	0.007499980740249157
