pair	class	total	ref_correct	cmp_correct	delta_correct	ref_acc	cmp_acc	avg_true_prob_delta	avg_margin_delta
best250_vs_phase2w	370	50	44	43	-1	88.0	86.0	-0.0015518292784690857	-0.07455863058567047
best250_vs_phase2w	272	50	32	31	-1	64.0	62.0	-0.0015334527706727386	-0.01336109172552824
best250_vs_phase2w	971	50	45	44	-1	90.0	88.0	-0.0015025085303932428	-0.033317357301712036
best250_vs_phase2w	919	50	40	39	-1	80.0	78.0	-0.0012000137940049171	0.040791597217321396
best250_vs_phase2w	74	50	30	29	-1	60.0	58.0	-0.001170019037090242	0.0067212581634521484
best250_vs_phase2w	960	50	34	33	-1	68.0	66.0	-0.001021161093376577	0.03432831913232803
best250_vs_phase2w	32	50	25	24	-1	50.0	48.0	-0.0010130113223567605	0.01484752632677555
best250_vs_phase2w	962	50	39	38	-1	78.0	76.0	-0.0009395915549248457	0.00030104638426564634
best250_vs_phase2w	468	50	37	36	-1	74.0	72.0	-0.0008877758518792689	-0.0422762967646122
best250_vs_phase2w	657	50	15	14	-1	30.0	28.0	-0.0008451890898868442	-0.002475204411894083
best250_vs_phase2w	697	50	36	35	-1	72.0	70.0	-0.0006709740846417844	0.03452306613326073
best250_vs_phase2w	905	50	36	35	-1	72.0	70.0	-0.0004945975379087031	-0.009251976385712624
best250_vs_phase2w	977	50	32	31	-1	64.0	62.0	-0.0004906313261017203	0.012819033116102219
best250_vs_phase2w	999	50	27	26	-1	54.0	52.0	-0.0004644022847060114	-0.008548039942979813
best250_vs_phase2w	678	50	37	36	-1	74.0	72.0	-6.247088458621874e-05	-0.02938304841518402
best250_vs_phase2w	781	50	46	45	-1	92.0	90.0	-5.924180004512891e-05	0.028711795806884766
best250_vs_phase2w	618	50	25	24	-1	50.0	48.0	0.0002639736339915544	-0.0004727172781713307
best250_vs_phase2w	55	50	34	33	-1	68.0	66.0	0.0002811598824337125	0.04420759156346321
best250_vs_phase2w	839	50	37	36	-1	74.0	72.0	0.0007045145612210035	0.032842159271240234
best250_vs_phase2w	893	50	37	36	-1	74.0	72.0	0.0007622133125551045	0.0314321331679821
best250_vs_phase2w	192	50	43	42	-1	86.0	84.0	0.0007708223420195282	0.039205409586429596
best250_vs_phase2w	682	50	43	42	-1	86.0	84.0	0.0009145480580627918	0.067816823720932
best250_vs_phase2w	109	50	48	47	-1	96.0	94.0	0.0010312366066500545	0.0009680938674136996
best250_vs_phase2w	206	50	46	45	-1	92.0	90.0	0.0010540123330429196	0.011226368136703968
best250_vs_phase2w	182	50	47	46	-1	94.0	92.0	0.001059057074598968	0.04644930735230446
best250_vs_phase2w	473	50	40	39	-1	80.0	78.0	0.0011106744641438127	0.024000663310289383
best250_vs_phase2w	239	50	50	49	-1	100.0	98.0	0.0011986648896709085	0.006276216357946396
best250_vs_phase2w	21	50	44	43	-1	88.0	86.0	0.0013627927983179688	0.0686277225613594
best250_vs_phase2w	596	50	37	36	-1	74.0	72.0	0.0014838788192719221	-0.01231510192155838
best250_vs_phase2w	463	50	30	29	-1	60.0	58.0	0.0014859149232506752	-0.006400012876838446
best250_vs_phase2w	336	50	48	47	-1	96.0	94.0	0.0015244839014485478	0.03978327661752701
best250_vs_phase2w	769	50	41	40	-1	82.0	80.0	0.0017845116090029478	0.00729854591190815
best250_vs_phase2w	683	50	35	34	-1	70.0	68.0	0.0018411746714264154	-0.015350084751844406
best250_vs_phase2w	270	50	48	47	-1	96.0	94.0	0.0019714152440428734	-0.025743646547198296
best250_vs_phase2w	580	50	46	45	-1	92.0	90.0	0.0020051258616149426	0.028254127129912376
best250_vs_phase2w	58	50	44	43	-1	88.0	86.0	0.0021991466637700796	0.026640567928552628
best250_vs_phase2w	767	50	33	32	-1	66.0	64.0	0.002369633875787258	0.0408569797873497
best250_vs_phase2w	782	50	10	9	-1	20.0	18.0	0.002379097044467926	-0.008411722257733345
best250_vs_phase2w	623	50	18	17	-1	36.0	34.0	0.0026628533378243446	0.016765184700489044
best250_vs_phase2w	395	50	41	40	-1	82.0	80.0	0.0026632798835635185	-0.034508638083934784
best250_vs_phase2w	178	50	48	47	-1	96.0	94.0	0.002727999584749341	0.024758748710155487
best250_vs_phase2w	422	50	32	31	-1	64.0	62.0	0.0028729536570608616	0.041129130870103836
best250_vs_phase2w	57	50	48	47	-1	96.0	94.0	0.0029516478534787893	0.007639188785105944
best250_vs_phase2w	582	50	34	33	-1	68.0	66.0	0.003002837533131242	-0.046114273369312286
best250_vs_phase2w	732	50	43	42	-1	86.0	84.0	0.0030131570529192686	0.003979806788265705
best250_vs_phase2w	608	50	38	37	-1	76.0	74.0	0.0031943286303430796	0.04144149646162987
best250_vs_phase2w	715	50	41	40	-1	82.0	80.0	0.00328599801287055	-0.04947005212306976
best250_vs_phase2w	694	50	48	47	-1	96.0	94.0	0.0033278069458901882	0.027758436277508736
best250_vs_phase2w	424	50	34	33	-1	68.0	66.0	0.0034294582437723875	-0.007064666599035263
best250_vs_phase2w	75	50	45	44	-1	90.0	88.0	0.0035811036359518766	0.022395968437194824
best250_vs_phase2w	404	50	48	47	-1	96.0	94.0	0.0036647915840148926	0.024585867300629616
best250_vs_phase2w	826	50	34	33	-1	68.0	66.0	0.0037682235706597567	0.023931875824928284
best250_vs_phase2w	225	50	47	46	-1	94.0	92.0	0.0037746995221823454	0.06437356770038605
best250_vs_phase2w	52	50	41	40	-1	82.0	80.0	0.004298826679587364	-0.01229175552725792
best250_vs_phase2w	453	50	38	37	-1	76.0	74.0	0.004305953159928322	0.02420523576438427
best250_vs_phase2w	570	50	47	46	-1	94.0	92.0	0.004366610664874315	0.03144434094429016
best250_vs_phase2w	917	50	44	43	-1	88.0	86.0	0.00438044173642993	0.044755272567272186
best250_vs_phase2w	47	50	41	40	-1	82.0	80.0	0.004668602254241705	-0.021296748891472816
best250_vs_phase2w	922	50	43	42	-1	86.0	84.0	0.004887636750936508	0.013631429523229599
best250_vs_phase2w	111	50	47	46	-1	94.0	92.0	0.004934284370392561	0.10854806751012802
best250_vs_phase2w	729	50	33	32	-1	66.0	64.0	0.005052609834820032	0.04407169297337532
best250_vs_phase2w	643	50	35	34	-1	70.0	68.0	0.005085456185042858	-0.0026647807098925114
best250_vs_phase2w	841	50	22	21	-1	44.0	42.0	0.005252146627753973	0.02969473786652088
best250_vs_phase2w	54	50	34	33	-1	68.0	66.0	0.00558450585231185	0.0181754007935524
best250_vs_phase2w	702	50	41	40	-1	82.0	80.0	0.00564899668097496	-0.0008553314255550504
best250_vs_phase2w	457	50	41	40	-1	82.0	80.0	0.005955652799457312	0.025518951937556267
best250_vs_phase2w	845	50	36	35	-1	72.0	70.0	0.006014813203364611	-0.0037984943483024836
best250_vs_phase2w	598	50	38	37	-1	76.0	74.0	0.006048110779374838	0.05272814631462097
best250_vs_phase2w	807	50	41	40	-1	82.0	80.0	0.006048485171049833	0.060821451246738434
best250_vs_phase2w	160	50	50	49	-1	100.0	98.0	0.006163007579743862	0.09819045662879944
best250_vs_phase2w	676	50	39	38	-1	78.0	76.0	0.006475146859884262	-0.039845000952482224
best250_vs_phase2w	65	50	42	41	-1	84.0	82.0	0.006579761393368244	0.03535310924053192
best250_vs_phase2w	129	50	50	49	-1	100.0	98.0	0.006751533132046461	0.10218538343906403
best250_vs_phase2w	293	50	48	47	-1	96.0	94.0	0.006864607334136963	0.06334622204303741
best250_vs_phase2w	240	50	21	20	-1	42.0	40.0	0.007287198211997747	0.003487806301563978
best250_vs_phase2w	172	50	41	40	-1	82.0	80.0	0.007407696917653084	0.005707130301743746
best250_vs_phase2w	763	50	47	46	-1	94.0	92.0	0.007501780521124601	0.09946216642856598
best250_vs_phase2w	654	50	41	40	-1	82.0	80.0	0.007641234900802374	0.05821328982710838
best250_vs_phase2w	505	50	35	34	-1	70.0	68.0	0.007699191104620695	0.027213869616389275
best250_vs_phase2w	722	50	45	44	-1	90.0	88.0	0.008802833966910839	0.07797574996948242
best250_vs_phase2w	520	50	39	38	-1	78.0	76.0	0.008971177972853184	0.06570799648761749
best250_vs_phase2w	814	50	49	48	-1	98.0	96.0	0.009028089232742786	0.05915689095854759
best250_vs_phase2w	869	50	33	32	-1	66.0	64.0	0.009080499410629272	0.06079103425145149
best250_vs_phase2w	667	50	35	34	-1	70.0	68.0	0.009212400764226913	-0.024210596457123756
best250_vs_phase2w	459	50	34	33	-1	68.0	66.0	0.009906673803925514	0.050739679485559464
best250_vs_phase2w	595	50	43	42	-1	86.0	84.0	0.01001268345862627	0.028972283005714417
best250_vs_phase2w	593	50	43	42	-1	86.0	84.0	0.010815327987074852	0.13551673293113708
best250_vs_phase2w	544	50	41	40	-1	82.0	80.0	0.01152612455189228	0.07074034959077835
best250_vs_phase2w	805	50	47	46	-1	94.0	92.0	0.012041544541716576	0.09782229363918304
best250_vs_phase2w	892	50	36	35	-1	72.0	70.0	0.01255754753947258	0.05990254506468773
best250_vs_phase2w	846	50	29	28	-1	58.0	56.0	0.013215620070695877	0.011398344300687313
best250_vs_phase2w	969	50	23	22	-1	46.0	44.0	0.013319599442183971	0.05195104703307152
best250_vs_phase2w	652	50	39	38	-1	78.0	76.0	0.014465218409895897	-0.005566616076976061
best250_vs_phase2w	747	50	37	36	-1	74.0	72.0	0.015941930934786797	0.10211851447820663
best250_vs_phase2w	865	50	33	32	-1	66.0	64.0	0.016250930726528168	0.061346206814050674
best250_vs_phase2w	706	50	33	32	-1	66.0	64.0	0.01715422235429287	0.032954636961221695
best250_vs_phase2w	470	50	36	35	-1	72.0	70.0	0.01748003251850605	0.06759251654148102
best250_vs_phase2w	357	50	47	47	0	94.0	94.0	-0.018736960366368294	-0.08913210034370422
best250_vs_phase2w	721	50	43	43	0	86.0	86.0	-0.018609078601002693	-0.16264218091964722
best250_vs_phase2w	490	50	39	39	0	78.0	78.0	-0.018421247601509094	-0.10594572871923447
best250_vs_phase2w	411	50	39	39	0	78.0	78.0	-0.01810580864548683	-0.06248193606734276
best250_vs_phase2w	679	50	49	49	0	98.0	98.0	-0.018020300194621086	-0.13489216566085815
best250_vs_phase2w	361	50	48	48	0	96.0	96.0	-0.017820049077272415	-0.13330529630184174
best250_vs_phase2w	179	50	36	36	0	72.0	72.0	-0.017794696614146233	-0.014329414814710617
best250_vs_phase2w	717	50	36	36	0	72.0	72.0	-0.01728537306189537	-0.09793636202812195
best250_vs_phase2w	609	50	38	38	0	76.0	76.0	-0.016084108501672745	-0.0194151122123003
best250_vs_phase2w	353	50	36	36	0	72.0	72.0	-0.015764258801937103	-0.04478529095649719
best250_vs_phase2w	884	50	39	39	0	78.0	78.0	-0.015156042762100697	-0.013870621100068092
best250_vs_phase2w	431	50	40	40	0	80.0	80.0	-0.014958701096475124	-0.029724931344389915
best250_vs_phase2w	512	50	49	49	0	98.0	98.0	-0.014520708471536636	-0.07906249910593033
best250_vs_phase2w	360	50	41	41	0	82.0	82.0	-0.014421272091567516	-0.06771732121706009
best250_vs_phase2w	474	50	39	39	0	78.0	78.0	-0.014105048030614853	-0.09868833422660828
best250_vs_phase2w	578	50	37	37	0	74.0	74.0	-0.013789601624011993	-0.07145959883928299
best250_vs_phase2w	2	50	41	41	0	82.0	82.0	-0.01359874289482832	-0.030034618452191353
best250_vs_phase2w	122	50	45	45	0	90.0	90.0	-0.0134767796844244	-0.125
best250_vs_phase2w	891	50	43	43	0	86.0	86.0	-0.013340167701244354	-0.07776478677988052
best250_vs_phase2w	183	50	46	46	0	92.0	92.0	-0.013136763125658035	-0.02039465866982937
best250_vs_phase2w	106	50	41	41	0	82.0	82.0	-0.013081854209303856	-0.030204134061932564
best250_vs_phase2w	213	50	43	43	0	86.0	86.0	-0.013025548309087753	-0.06063709408044815
best250_vs_phase2w	84	50	48	48	0	96.0	96.0	-0.012648194096982479	-0.10991325229406357
best250_vs_phase2w	529	50	40	40	0	80.0	80.0	-0.012292000465095043	-0.048028554767370224
best250_vs_phase2w	926	50	44	44	0	88.0	88.0	-0.01217389851808548	-0.05127223953604698
best250_vs_phase2w	511	50	43	43	0	86.0	86.0	-0.012097402475774288	-0.02437499910593033
best250_vs_phase2w	533	50	47	47	0	94.0	94.0	-0.011991625651717186	-0.07729986310005188
best250_vs_phase2w	412	50	37	37	0	74.0	74.0	-0.011931496672332287	-0.04062315821647644
best250_vs_phase2w	739	50	48	48	0	96.0	96.0	-0.011848402209579945	-0.10540176182985306
best250_vs_phase2w	510	50	46	46	0	92.0	92.0	-0.011497841216623783	-0.052528705447912216
