group_type	key	cmp	params	numel	best_delta_l2	cmp_delta_l2	cmp_over_best	delta_cosine_to_best	extra_l2_vs_best	extra_over_best	best_top1	cmp_top1	delta_top1_vs_best
param	features.5.5.mlp.fc1.input_quant_fn.s	movev_damp	1	14	0.0006445273567071057	0.0007338906501872836	1.1386493413355416	0.9503544636910203	0.0002344178691624856	0.3637050727530449	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.move_qkx_b4.bias	movev_damp	1	4608	0.01562041628927739	0.015466733225147022	0.9901613976680081	0.9338086634179878	0.005657459054853505	0.3621836287895258	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.quan_a_qkx_fn.s	highdrift_damp	1	588	0.004041886875247688	0.0040524659477237865	1.0026173598625148	0.9349433416609004	0.00145990251082149	0.3611933128959792	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.quant_x_4_qkv.move_aft.bias	movev_damp	1	768	0.0029646142280027026	0.002957148300969733	0.9974816531060098	0.9361558351109233	0.0010580523897609898	0.3568937839422746	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.k.weight	highdrift_damp	1	147456	0.044146503736402866	0.045424546248508495	1.0289500278376917	0.9388222307853601	0.015716130519491812	0.3559994379924681	80.554	80.51	-0.04399999999999693
param	features.7.1.norm1.bias	movev_damp	1	768	0.0014944423435374508	0.0014838990024044578	0.9929449662754897	0.936315568860898	0.0005315684313221295	0.3556968481392661	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.quant_x_4_qkv.move_b4.bias	movev_damp	1	768	0.002989101031095596	0.002968036569956381	0.9929529109521287	0.9363383146139349	0.0010630264997073312	0.35563418186560924	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.q.weight	highdrift_damp	1	147456	0.04452409801856683	0.0456860426824944	1.0260969837826481	0.9391814956807187	0.015772613058359843	0.35424890700273287	80.554	80.51	-0.04399999999999693
param	features.7.1.norm2.weight	movev_damp	1	768	0.0028673618348448175	0.0028381575178444422	0.9898149174458982	0.9370646632595461	0.0010125177553536968	0.3531182367880315	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.quan_a_v_fn.s	movev_damp	1	384	0.0037510638044362245	0.0038558424246613707	1.0279330413151675	0.9397530896946151	0.0013242897683320837	0.3530437863429308	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.quan_a_qkx_fn.s	movev_damp	1	588	0.004041886875247688	0.004113518264352731	1.0177222647035744	0.9421187377324235	0.0013891877880704605	0.3436978398821047	80.554	80.51	-0.04399999999999693
param	features.7.1.mlp.fc2.move_b4.bias	movev_damp	1	3072	0.0067761115120617945	0.006805454936172663	1.0043304222574607	0.9430133355875543	0.0022927484943442373	0.33835755067829654	80.554	80.51	-0.04399999999999693
param	features.7.1.mlp.fc2.bias	movev_damp	1	768	0.0010665853860819443	0.0010507100018507113	0.9851156930908733	0.9429068631801732	0.00035807470381378373	0.335720616920466	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.quant_x_4_qkv.input_quant_fn.s	highdrift_damp	1	49	0.0014201140837624142	0.0013640267176685532	0.9605050279163033	0.9421618807094256	0.00047667542337303555	0.33565995072039834	80.554	80.51	-0.04399999999999693
param	features.7.1.mlp.fc2.move_aft.bias	movev_damp	1	3072	0.004033864696008387	0.003914412430573462	0.9703876370585444	0.9439143783776044	0.0013362173466626897	0.331249917228238	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc1.weight	movev_damp	1	589824	0.08348686044514138	0.08352986706767368	1.0005151304325375	0.9466999448215166	0.027265220938997747	0.3265809828471575	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc2.weight	movev_damp	1	589824	0.08035334533657043	0.08040258339966323	1.0006127692989826	0.9469285882284944	0.026186779523497464	0.32589532413131944	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.v.bias	movev_damp	1	768	0.0010754022704485447	0.0010420910358229431	0.9690243962273694	0.945731452584549	0.00035034815190949844	0.32578334781027574	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.move_v_b4.bias	movev_damp	1	768	0.0021507884720600038	0.0020834347465576927	0.9686841703043906	0.9457779730561051	0.0007003414984760408	0.3256208165395552	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.move_v_aft.bias	movev_damp	1	768	0.0021335077816445345	0.0020589799779365736	0.9650679484981705	0.9464952370840282	0.000689659853464897	0.3232516231711602	80.554	80.51	-0.04399999999999693
param	features.7.1.mlp.fc2.weight	movev_damp	1	2359296	0.15177419763037858	0.1517878869596423	1.0000901953657304	0.9480981256819835	0.0489016789518294	0.3222002139712937	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.proj.move_b4.bias	movev_damp	1	768	0.002146905385261161	0.002074790969543005	0.9664100634274652	0.9477271971337284	0.0006862117884345321	0.31962833255041545	80.554	80.51	-0.04399999999999693
param	features.7.1.mlp.fc1.bias	movev_damp	1	3072	0.003581398160665222	0.00359921071258834	1.0049736307229826	0.9494310657736188	0.0011419326091821067	0.3188510626168412	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.proj.bias	movev_damp	1	768	0.0011788153316593252	0.001160920166642356	0.984819365225103	0.9492361977892131	0.00037317805020818174	0.31657040775240725	80.554	80.51	-0.04399999999999693
param	features.7.1.attn.proj.move_aft.bias	movev_damp	1	768	0.0021555155675525256	0.002085402922606555	0.9674729118168329	0.9492427277799387	0.0006791428868885433	0.31507213267760076	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.q.weight	movev_damp	1	147456	0.04452409801856683	0.04451996666609234	0.9999072108665118	0.9515975371070144	0.013852349212106582	0.3111202658463753	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.proj.weight	movev_damp	1	147456	0.04068736861888195	0.04083435271158075	1.0036125239278952	0.9533036647662979	0.012457460330111799	0.3061751288661763	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.k.weight	movev_damp	1	147456	0.044146503736402866	0.044055233017526736	0.9979325493266442	0.9534193907472093	0.013460922408773517	0.3049148011617904	80.554	80.51	-0.04399999999999693
param	features.7.1.norm2.bias	movev_damp	1	768	0.001519840257167104	0.0015203206334267587	1.0003160702300056	0.9538271870450089	0.0004619289674531683	0.30393257796327733	80.554	80.51	-0.04399999999999693
param	features.7.1.mlp.fc1.move_b4.bias	movev_damp	1	768	0.0030397203086490947	0.0030401349763007333	1.0001364163835924	0.9538937272891489	0.0009231209009087176	0.3036861313463964	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc2.move_b4.bias	movev_damp	1	1536	0.004997242862020511	0.004954051596002115	0.9913569807970204	0.9535641948220397	0.001516921229726494	0.3035516326923452	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.quant_x_4_qkv.input_quant_fn.s	movev_damp	1	49	0.0014201140837624142	0.0014185831726908418	0.9989219802204085	0.9540799691879104	0.0004301382725441997	0.30288994205634684	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc1.bias	movev_damp	1	1536	0.003139805807430817	0.0031423946430442803	1.0008245209328985	0.9553065024967939	0.0009391195853912624	0.2991011683489139	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc2.bias	movev_damp	1	384	0.0010520065201117747	0.0010055141258286417	0.955805982763117	0.9544656739968931	0.0003138385996733201	0.29832381612993714	80.554	80.51	-0.04399999999999693
param	features.7.1.mlp.fc1.move_aft.bias	movev_damp	1	768	0.003122311943343864	0.0031384385763275585	1.005164965345014	0.9566290814703569	0.0009220949433072399	0.29532441346001936	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc2.move_aft.bias	movev_damp	1	1536	0.003974364914481959	0.0038285343031332257	0.9633071913408481	0.9575358181653005	0.0011460949978061292	0.28837185876665217	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.v.weight	movev_damp	1	147456	0.04114190173504229	0.04120551724517927	1.0015462462223226	0.9591831891710733	0.011764165796080561	0.2859412253678231	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.move_v_b4.bias	movev_damp	1	384	0.0022555131476884216	0.0021881334492795733	0.9701266656424048	0.9602302129577842	0.0006301568123325459	0.2793851204008128	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.v.bias	movev_damp	1	384	0.001127697599646598	0.001094180034983778	0.9702778788628051	0.9602442825450422	0.0003150120983699137	0.2793409318851378	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.proj.move_aft.bias	movev_damp	1	384	0.0022486635319944577	0.0021769255631752097	0.9680975086763559	0.9602428737075392	0.0006279986105506553	0.2792763797764134	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.proj.move_b4.bias	movev_damp	1	384	0.0022499577352597514	0.0021792983538036627	0.9685952405466268	0.9604517009532332	0.0006267605452319942	0.2785654749908608	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.move_v_aft.bias	movev_damp	1	384	0.0022554327015030452	0.0021860808448363068	0.9692511966238134	0.9605384675511944	0.0006276495321839394	0.2782834228508201	80.554	80.51	-0.04399999999999693
param	features.5.5.norm2.weight	movev_damp	1	384	0.002324892707877465	0.0023891125320052516	1.0276227044414523	0.965640382656802	0.0006211442786403529	0.2671711587101295	80.554	80.51	-0.04399999999999693
param	features.5.5.norm1.weight	movev_damp	1	384	0.0020682933625623384	0.0020370119516644443	0.9848757379083107	0.9646544465214074	0.0005466352078679386	0.26429287922228345	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.quant_x_4_qkv.move_b4.bias	movev_damp	1	384	0.002666132963876808	0.0026943711366969117	1.0105914345618543	0.9663203086693612	0.0006961880072917465	0.2611227634646637	80.554	80.51	-0.04399999999999693
param	features.5.5.norm1.bias	movev_damp	1	384	0.001333048828406828	0.00134728860264758	1.0106821100152574	0.9663502303655682	0.00034795555976071055	0.2610223664324165	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.quant_x_4_qkv.move_aft.bias	movev_damp	1	384	0.0026725882602932805	0.0026960583764605575	1.0087817927347706	0.9663335969408311	0.0006969325386009796	0.26077063532580985	80.554	80.51	-0.04399999999999693
param	features.5.5.mlp.fc1.move_aft.bias	movev_damp	1	384	0.0032599037797106443	0.003233350319001707	0.9918545262365706	0.9659313137394235	0.0008478798241859098	0.26009351241071577	80.554	80.51	-0.04399999999999693
param	features.5.5.attn.proj.bias	movev_damp	1	384	0.0012319252017866868	0.0011870943654514814	0.96360912475028	0.9656332227987342	0.0003201973722282662	0.25991624472320013	80.554	80.51	-0.04399999999999693
param	features.5.5.norm2.bias	movev_damp	1	384	0.0016748416289392636	0.0016626612230383644	0.9927274282592239	0.9673993837702736	0.00042627895150468915	0.25451896115972866	80.554	80.51	-0.04399999999999693
